time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.90,0.9641,0.2718,828.9653,0.0207
1,0.90,0.9811,0.1964,830.5891,0.0458
2,0.90,0.9834,0.1842,818.7675,0.0077
3,0.90,0.9827,0.1871,803.1900,-0.0028
4,0.90,0.9856,0.1704,803.5703,-0.0177
5,0.90,0.9839,0.1812,810.3126,0.0127
6,0.90,0.9852,0.1738,805.8025,0.0082
7,0.90,0.9867,0.1645,804.4725,0.0101
8,0.90,0.9867,0.1645,804.4725,0.0101
9,0.90,0.9867,0.1645,804.4725,0.0101
10,0.90,0.9867,0.1645,804.4725,0.0101
11,0.90,0.9867,0.1645,804.4725,0.0101
12,0.90,0.9867,0.1645,804.4725,0.0101
13,0.90,0.9867,0.1645,804.4725,0.0101
14,0.90,0.9867,0.1645,804.4725,0.0101
15,0.90,0.9867,0.1645,804.4725,0.0101
16,0.90,0.9867,0.1645,804.4725,0.0101
17,0.90,0.9867,0.1645,804.4725,0.0101
18,0.90,0.9867,0.1645,804.4725,0.0101
19,0.90,0.9867,0.1645,804.4725,0.0101
20,0.90,0.9867,0.1645,804.4725,0.0101
21,0.90,0.9813,0.1947,797.6087,0.0157
22,0.90,0.9802,0.2009,790.3991,0.0063
23,0.90,0.9870,0.1631,799.5007,0.0078
24,0.90,0.9905,0.1385,803.4858,0.0093
25,0.90,0.9855,0.1717,801.2122,-0.0071
26,0.90,0.9862,0.1681,787.5910,-0.0111
27,0.90,0.9860,0.1688,792.8642,0.0184
28,0.90,0.9873,0.1604,797.1501,0.0458
29,0.90,0.9858,0.1700,791.2565,0.0393
