time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.10,0.2834,1.7428,810.3640,0.0548
1,0.10,0.5074,1.6172,787.5212,0.1040
2,0.10,0.5912,1.5197,772.7765,0.1313
3,0.10,0.7323,1.1624,779.1116,0.1239
4,0.10,0.7948,0.9871,792.7252,0.1030
5,0.10,0.8517,0.6964,788.4365,0.0720
6,0.10,0.8574,0.6782,795.5133,0.0484
7,0.10,0.8472,0.8159,792.5182,-0.0275
8,0.10,0.8518,0.8414,773.1899,-0.0250
9,0.10,0.8649,0.8164,770.6773,-0.0271
10,0.10,0.9136,0.5294,780.6338,-0.0166
11,0.10,0.9183,0.4163,781.3563,0.0414
12,0.10,0.9029,0.4589,779.3011,0.0266
13,0.10,0.8937,0.5780,767.5440,-0.0093
14,0.10,0.8852,0.5587,765.7325,-0.0518
15,0.10,0.8882,0.5472,783.6273,-0.0251
16,0.10,0.8834,0.5970,779.9345,0.0236
17,0.10,0.8866,0.5448,778.5289,0.0227
18,0.10,0.8749,0.5245,779.0133,-0.0378
19,0.10,0.9078,0.4752,781.9433,-0.0366
20,0.10,0.9155,0.4893,803.4795,-0.0192
21,0.10,0.9250,0.4825,809.9889,-0.0073
22,0.10,0.9190,0.4134,821.0241,-0.0495
23,0.10,0.9046,0.5634,831.6027,-0.0383
24,0.10,0.9033,0.4926,833.6071,-0.0508
25,0.10,0.8872,0.5594,840.3407,-0.0701
26,0.10,0.8902,0.4866,848.2473,-0.0638
27,0.10,0.9062,0.4847,848.4835,-0.1459
28,0.10,0.8711,0.5666,853.0857,-0.0754
29,0.10,0.8784,0.5738,861.4232,-0.0496
