time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,1,0.9712,0.2436,830.5063,0.013,,,
1,1,0.9809,0.1972,840.4379,0.0068,,,
2,1,0.9816,0.1933,844.1324,-0.013,,,
3,1,0.986,0.1684,830.8945,-0.0032,,,
4,1,0.9874,0.1599,825.949,0.0008,,,
5,1,0.988,0.1559,844.7802,0.0089,,,
6,1,0.9866,0.1647,849.801,-0.0073,,,
7,1,0.9881,0.1549,836.3435,-0.0092,,,
8,1,0.9878,0.1574,823.456,-0.0085,,,
9,1,0.9895,0.1462,833.9323,-0.0109,,,
10,1,0.9887,0.1519,836.1175,-0.0096,,,
11,1,0.9887,0.1519,836.1175,-0.0096,,,
12,1,0.9887,0.1519,836.1175,-0.0096,,,
13,1,0.9887,0.1519,836.1175,-0.0096,,,
14,1,0.9887,0.1519,836.1175,-0.0096,,,
15,1,0.9887,0.1519,836.1175,-0.0096,,,
16,1,0.9887,0.1519,836.1175,-0.0096,,,
17,1,0.9887,0.1519,836.1175,-0.0096,,,
18,1,0.9887,0.1519,836.1175,-0.0096,,,
19,1,0.9887,0.1519,836.1175,-0.0096,,,
20,1,0.9887,0.1519,836.1175,-0.0096,,,
21,1,0.975,0.2254,842.6111,-0.0156,,,
22,1,0.9788,0.2092,844.1294,-0.0093,,,
23,1,0.9859,0.1701,828.7078,-0.0178,,,
24,1,0.9825,0.1889,815.3646,0.0112,,,
25,1,0.9878,0.1571,825.3048,0.0121,,,
26,1,0.9848,0.1758,825.6758,0.0111,,,
27,1,0.9898,0.1436,822.2072,0.0036,,,
28,1,0.99,0.1421,813.7804,-0.0098,,,
29,1,0.9891,0.1482,817.8653,-0.0009,,,
