time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,1.00,0.9742,0.2301,826.1010,0.0024
1,1.00,0.9876,0.1590,818.2131,-0.0026
2,1.00,0.9870,0.1621,814.6003,-0.0023
3,1.00,0.9850,0.1743,817.0245,-0.0170
4,1.00,0.9875,0.1593,833.2984,-0.0071
5,1.00,0.9877,0.1577,831.2787,0.0163
6,1.00,0.9876,0.1585,834.5920,-0.0109
7,1.00,0.9877,0.1578,831.9151,0.0011
8,1.00,0.9861,0.1681,842.6029,0.0162
9,1.00,0.9858,0.1699,845.6651,-0.0052
10,1.00,0.9866,0.1648,835.6266,0.0159
11,1.00,0.9914,0.1317,828.6813,0.0022
12,1.00,0.9902,0.1408,831.9625,0.0053
13,1.00,0.9901,0.1409,838.8623,0.0039
14,1.00,0.9906,0.1378,830.2829,-0.0042
15,1.00,0.9890,0.1488,831.0142,-0.0031
16,1.00,0.9892,0.1477,822.6888,-0.0014
17,1.00,0.9876,0.1590,823.7964,0.0078
18,1.00,0.9868,0.1641,823.8832,0.0169
19,1.00,0.9870,0.1620,816.1105,0.0020
20,1.00,0.9906,0.1379,804.5972,0.0064
21,1.00,0.9884,0.1535,810.3520,0.0118
22,1.00,0.9896,0.1450,815.7248,0.0069
23,1.00,0.9882,0.1546,810.8406,0.0110
24,1.00,0.9892,0.1483,806.3420,0.0094
25,1.00,0.9882,0.1551,812.4409,0.0075
26,1.00,0.9872,0.1613,822.2293,0.0262
27,1.00,0.9856,0.1706,817.7071,-0.0049
28,1.00,0.9838,0.1816,811.9495,-0.0175
29,1.00,0.9831,0.1855,807.0138,-0.0048
