time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.70,0.9524,0.3654,814.0155,-0.0085
1,0.70,0.9727,0.2371,823.9896,-0.0284
2,0.70,0.9798,0.2034,827.8503,-0.0279
3,0.70,0.9798,0.2033,832.7812,-0.0101
4,0.70,0.9819,0.1910,820.4827,0.0066
5,0.70,0.9849,0.1762,832.1967,-0.0114
6,0.70,0.9849,0.1753,834.5090,-0.0137
7,0.70,0.9845,0.1782,848.0085,-0.0144
8,0.70,0.9860,0.1686,846.3717,-0.0112
9,0.70,0.9860,0.1686,846.3717,-0.0112
10,0.70,0.9860,0.1686,846.3717,-0.0112
11,0.70,0.9860,0.1686,846.3717,-0.0112
12,0.70,0.9860,0.1686,846.3717,-0.0112
13,0.70,0.9860,0.1686,846.3717,-0.0112
14,0.70,0.9860,0.1686,846.3717,-0.0112
15,0.70,0.9860,0.1686,846.3717,-0.0112
16,0.70,0.9860,0.1686,846.3717,-0.0112
17,0.70,0.9860,0.1686,846.3717,-0.0112
18,0.70,0.9860,0.1686,846.3717,-0.0112
19,0.70,0.9860,0.1686,846.3717,-0.0112
20,0.70,0.9860,0.1686,846.3717,-0.0112
21,0.70,0.9860,0.1686,846.3717,-0.0112
22,0.70,0.9772,0.2153,843.5046,-0.0031
23,0.70,0.9857,0.1700,846.6994,0.0319
24,0.70,0.9824,0.1886,848.1153,0.0133
25,0.70,0.9815,0.1936,847.9800,-0.0049
26,0.70,0.9812,0.1966,848.2063,-0.0071
27,0.70,0.9848,0.1756,843.9837,-0.0075
28,0.70,0.9858,0.1689,849.3487,-0.0002
29,0.70,0.9819,0.1918,843.4562,0.0086
