time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.4,0.8154,0.9575,822.0344,0.0266,,,
1,0.4,0.8154,0.9575,822.0344,0.0266,,,
2,0.4,0.8154,0.9575,822.0344,0.0266,,,
3,0.4,0.8154,0.9575,822.0344,0.0266,,,
4,0.4,0.8154,0.9575,822.0344,0.0266,,,
5,0.4,0.8154,0.9575,822.0344,0.0266,,,
6,0.4,0.8154,0.9575,822.0344,0.0266,,,
7,0.4,0.8154,0.9575,822.0344,0.0266,,,
8,0.4,0.8154,0.9575,822.0344,0.0266,,,
9,0.4,0.8154,0.9575,822.0344,0.0266,,,
10,0.4,0.8154,0.9575,822.0344,0.0266,,,
11,0.4,0.8154,0.9575,822.0344,0.0266,,,
12,0.4,0.8154,0.9575,822.0344,0.0266,,,
13,0.4,0.8154,0.9575,822.0344,0.0266,,,
14,0.4,0.8154,0.9575,822.0344,0.0266,,,
15,0.4,0.8154,0.9575,822.0344,0.0266,,,
16,0.4,0.8154,0.9575,822.0344,0.0266,,,
17,0.4,0.8154,0.9575,822.0344,0.0266,,,
18,0.4,0.8154,0.9575,822.0344,0.0266,,,
19,0.4,0.8154,0.9575,822.0344,0.0266,,,
20,0.4,0.8154,0.9575,822.0344,0.0266,,,
21,0.4,0.8154,0.9575,822.0344,0.0266,,,
22,0.4,0.8154,0.9575,822.0344,0.0266,,,
23,0.4,0.8154,0.9575,822.0344,0.0266,,,
24,0.4,0.8154,0.9575,822.0344,0.0266,,,
25,0.4,0.8154,0.9575,822.0344,0.0266,,,
26,0.4,0.8154,0.9575,822.0344,0.0266,,,
27,0.4,0.8154,0.9575,822.0344,0.0266,,,
28,0.4,0.8154,0.9575,822.0344,0.0266,,,
29,0.4,0.9047,0.511,823.6102,0.0277,,,
