time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.8,0.9605,0.2868,830.7867,-0.0387,,,
1,0.8,0.9811,0.1959,820.6729,-0.0101,,,
2,0.8,0.9816,0.1935,825.4142,-0.0108,,,
3,0.8,0.9852,0.1727,834.8643,-0.003,,,
4,0.8,0.9796,0.2035,830.0335,-0.0061,,,
5,0.8,0.9863,0.1664,818.953,0.0148,,,
6,0.8,0.9835,0.1831,818.0888,-0.0305,,,
7,0.8,0.9808,0.198,825.3976,-0.0124,,,
8,0.8,0.9808,0.198,825.3976,-0.0124,,,
9,0.8,0.9808,0.198,825.3976,-0.0124,,,
10,0.8,0.9808,0.198,825.3976,-0.0124,,,
11,0.8,0.9808,0.198,825.3976,-0.0124,,,
12,0.8,0.9808,0.198,825.3976,-0.0124,,,
13,0.8,0.9808,0.198,825.3976,-0.0124,,,
14,0.8,0.9808,0.198,825.3976,-0.0124,,,
15,0.8,0.9808,0.198,825.3976,-0.0124,,,
16,0.8,0.9808,0.198,825.3976,-0.0124,,,
17,0.8,0.9808,0.198,825.3976,-0.0124,,,
18,0.8,0.9808,0.198,825.3976,-0.0124,,,
19,0.8,0.9808,0.198,825.3976,-0.0124,,,
20,0.8,0.9808,0.198,825.3976,-0.0124,,,
21,0.8,0.9808,0.198,825.3976,-0.0124,,,
22,0.8,0.9808,0.198,825.3976,-0.0124,,,
23,0.8,0.9808,0.198,825.3976,-0.0124,,,
24,0.8,0.9754,0.224,835.4108,-0.0079,,,
25,0.8,0.9772,0.2161,842.3171,0.0099,,,
26,0.8,0.986,0.1678,829.7949,0.0093,,,
27,0.8,0.982,0.1914,823.1594,0.035,,,
28,0.8,0.9862,0.1668,823.8137,0.0142,,,
29,0.8,0.9862,0.1681,834.0386,-0.003,,,
