time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,1.00,0.9705,0.2461,832.8237,-0.0461
1,1.00,0.9802,0.2008,830.0381,-0.0271
2,1.00,0.9852,0.1726,827.2365,0.0139
3,1.00,0.9885,0.1519,832.2703,0.0025
4,1.00,0.9901,0.1409,837.6120,-0.0032
5,1.00,0.9890,0.1490,843.2706,0.0012
6,1.00,0.9901,0.1412,831.1986,-0.0113
7,1.00,0.9889,0.1495,830.9346,-0.0207
8,1.00,0.9875,0.1592,834.7022,-0.0124
9,1.00,0.9870,0.1625,841.7160,-0.0151
10,1.00,0.9859,0.1700,831.4622,-0.0319
11,1.00,0.9848,0.1756,830.7736,-0.0205
12,1.00,0.9869,0.1626,839.5434,-0.0041
13,1.00,0.9893,0.1469,848.1261,0.0153
14,1.00,0.9873,0.1609,842.7360,-0.0045
15,1.00,0.9886,0.1519,832.3183,0.0039
16,1.00,0.9853,0.1728,832.7058,-0.0151
17,1.00,0.9878,0.1570,839.7730,-0.0198
18,1.00,0.9862,0.1672,837.9932,-0.0199
19,1.00,0.9873,0.1604,831.4158,-0.0152
20,1.00,0.9899,0.1427,830.5292,0.0015
21,1.00,0.9903,0.1403,837.0264,0.0004
22,1.00,0.9894,0.1464,850.0775,-0.0012
23,1.00,0.9885,0.1521,848.5708,0.0006
24,1.00,0.9861,0.1690,846.3344,-0.0160
25,1.00,0.9911,0.1340,848.3828,-0.0206
26,1.00,0.9889,0.1497,855.1707,-0.0187
27,1.00,0.9875,0.1595,850.9560,0.0026
28,1.00,0.9902,0.1409,848.1971,-0.0058
29,1.00,0.9867,0.1641,846.2608,0.0149
