time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.0343,1.8351,804.0294,0.0293
1,0.01,0.0886,1.8352,809.8451,0.0371
2,0.01,0.1802,1.8102,816.4386,0.0344
3,0.01,0.2260,1.7803,818.2440,0.0304
4,0.01,0.2587,1.8111,809.1623,0.0656
5,0.01,0.2575,1.7330,802.4660,0.0508
6,0.01,0.3138,1.7397,820.0136,0.0626
7,0.01,0.3502,1.6893,853.5529,0.0611
8,0.01,0.3237,1.6584,882.7487,0.0712
9,0.01,0.3076,1.7273,879.1073,0.0380
10,0.01,0.2928,1.7290,853.0874,0.0282
11,0.01,0.2886,1.8427,834.7412,0.1219
12,0.01,0.2927,1.7719,824.5438,0.0632
13,0.01,0.3136,1.7094,811.1346,0.0171
14,0.01,0.3082,1.6691,801.2639,-0.0001
15,0.01,0.3962,1.5895,777.8570,0.0348
16,0.01,0.4229,1.5155,776.6188,-0.0087
17,0.01,0.4126,1.5556,806.4869,-0.0377
18,0.01,0.4862,1.4835,819.6152,0.0103
19,0.01,0.4511,1.5263,829.3364,0.0035
20,0.01,0.4833,1.4850,839.4732,-0.1079
21,0.01,0.5378,1.4565,821.9053,-0.1240
22,0.01,0.5441,1.3977,790.4208,-0.1203
23,0.01,0.5421,1.3163,796.2732,-0.1069
24,0.01,0.5297,1.3391,817.7968,-0.0864
25,0.01,0.5369,1.3874,821.1589,-0.1260
26,0.01,0.5242,1.3256,846.1381,-0.0818
27,0.01,0.5346,1.2939,857.7456,-0.1054
28,0.01,0.5737,1.3700,837.1508,-0.0823
29,0.01,0.5964,1.2480,804.1719,-0.1327
