time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.20,0.6115,1.3214,790.4980,0.0128
1,0.20,0.7865,1.0046,814.5296,0.0351
2,0.20,0.8669,0.7136,828.5898,0.0659
3,0.20,0.9172,0.4650,817.4723,0.0653
4,0.20,0.9188,0.4579,817.3315,0.0322
5,0.20,0.9224,0.4428,824.3432,0.0368
6,0.20,0.9339,0.3937,825.1189,0.0121
7,0.20,0.9264,0.3973,829.6799,-0.0390
8,0.20,0.9261,0.3948,818.1763,-0.0268
9,0.20,0.9422,0.3469,800.9800,-0.0286
10,0.20,0.9135,0.4287,794.5220,-0.0324
11,0.20,0.9144,0.4265,794.5985,-0.0336
12,0.20,0.9144,0.4265,794.5985,-0.0336
13,0.20,0.9144,0.4265,794.5985,-0.0336
14,0.20,0.9144,0.4265,794.5985,-0.0336
15,0.20,0.9144,0.4265,794.5985,-0.0336
16,0.20,0.9144,0.4265,794.5985,-0.0336
17,0.20,0.9144,0.4265,794.5985,-0.0336
18,0.20,0.9144,0.4265,794.5985,-0.0336
19,0.20,0.9144,0.4265,794.5985,-0.0336
20,0.20,0.9144,0.4265,794.5985,-0.0336
21,0.20,0.9144,0.4265,794.5985,-0.0336
22,0.20,0.9144,0.4265,794.5985,-0.0336
23,0.20,0.9144,0.4265,794.5985,-0.0336
24,0.20,0.9144,0.4265,794.5985,-0.0336
25,0.20,0.9144,0.4265,794.5985,-0.0336
26,0.20,0.9144,0.4265,794.5985,-0.0336
27,0.20,0.9144,0.4265,794.5985,-0.0336
28,0.20,0.9176,0.4187,796.2102,-0.0476
29,0.20,0.9334,0.3772,805.9085,0.0093
