time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.04,0.1494,1.6520,855.7335,-0.1136
1,0.04,0.2637,1.5424,854.7694,-0.1628
2,0.04,0.3342,1.5564,851.0911,-0.1708
3,0.04,0.4419,1.4077,842.6567,-0.1100
4,0.04,0.5100,1.3603,821.7452,-0.0904
5,0.04,0.5523,1.3224,805.3901,-0.0771
6,0.04,0.6528,1.2612,798.7092,-0.0558
7,0.04,0.7100,1.1523,791.5743,-0.0091
8,0.04,0.7461,0.9794,793.9090,0.0412
9,0.04,0.7630,0.9099,767.7592,0.0574
10,0.04,0.7876,0.9267,757.3288,0.0616
11,0.04,0.7636,0.8358,752.4323,0.0384
12,0.04,0.7458,0.9677,741.9187,0.0471
13,0.04,0.7647,0.9223,731.6839,0.0602
14,0.04,0.7856,0.8410,738.4287,0.0377
15,0.04,0.7973,0.8317,765.4614,-0.0421
16,0.04,0.8103,0.7626,793.3504,-0.0759
17,0.04,0.8348,0.7513,794.9394,-0.0593
18,0.04,0.8393,0.7457,774.0480,-0.0123
19,0.04,0.8335,0.7591,755.7897,-0.0056
20,0.04,0.8500,0.5755,762.8787,0.0116
21,0.04,0.8426,0.5890,791.9706,-0.0262
22,0.04,0.8385,0.6430,807.0460,-0.0460
23,0.04,0.8184,0.7768,810.6444,-0.0195
24,0.04,0.7866,0.8363,806.3896,-0.0281
25,0.04,0.7506,1.0146,783.2889,-0.0121
26,0.04,0.7701,0.9905,773.1836,-0.0172
27,0.04,0.8087,0.6867,757.6635,-0.0317
28,0.04,0.8024,0.6859,757.4019,-0.0012
29,0.04,0.7911,0.8634,771.1478,-0.0250
