time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.9,0.9711,0.2436,815.0078,0.0242,,,
1,0.9,0.9735,0.2326,809.2011,0.0149,,,
2,0.9,0.9735,0.2326,809.2011,0.0149,,,
3,0.9,0.9735,0.2326,809.2011,0.0149,,,
4,0.9,0.9735,0.2326,809.2011,0.0149,,,
5,0.9,0.9735,0.2326,809.2011,0.0149,,,
6,0.9,0.9735,0.2326,809.2011,0.0149,,,
7,0.9,0.9735,0.2326,809.2011,0.0149,,,
8,0.9,0.9735,0.2326,809.2011,0.0149,,,
9,0.9,0.9735,0.2326,809.2011,0.0149,,,
10,0.9,0.9735,0.2326,809.2011,0.0149,,,
11,0.9,0.9735,0.2326,809.2011,0.0149,,,
12,0.9,0.9735,0.2326,809.2011,0.0149,,,
13,0.9,0.9735,0.2326,809.2011,0.0149,,,
14,0.9,0.9735,0.2326,809.2011,0.0149,,,
15,0.9,0.9767,0.2179,795.9929,0.0236,,,
16,0.9,0.9787,0.2088,798.3367,0.0002,,,
17,0.9,0.9851,0.1736,802.2143,0.0065,,,
18,0.9,0.9883,0.1536,809.2615,-0.0012,,,
19,0.9,0.9876,0.1581,799.4931,0.0034,,,
20,0.9,0.9844,0.179,798.9533,-0.0007,,,
21,0.9,0.9878,0.1571,810.756,0.0245,,,
22,0.9,0.9873,0.16,811.1721,0.0261,,,
23,0.9,0.987,0.1621,808.0982,0.0109,,,
24,0.9,0.9815,0.1937,802.8199,0.0032,,,
25,0.9,0.9863,0.1662,808.7188,0.0022,,,
26,0.9,0.9872,0.1615,810.0347,0.0111,,,
27,0.9,0.9824,0.1887,809.5186,0.0103,,,
28,0.9,0.9819,0.1916,803.4564,0.0068,,,
29,0.9,0.9892,0.1477,802.9656,0.005,,,
