time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.03,0.2057,1.8219,825.8790,0.0505
1,0.03,0.2886,1.7776,822.6956,0.0517
2,0.03,0.3204,1.7832,829.2098,0.0634
3,0.03,0.3893,1.8380,845.6589,0.0833
4,0.03,0.4371,1.7264,860.4324,0.1137
5,0.03,0.4439,1.7031,851.7064,0.1206
6,0.03,0.5381,1.6063,828.4590,0.1459
7,0.03,0.5809,1.4718,793.2142,0.0895
8,0.03,0.5863,1.3830,768.5033,0.0604
9,0.03,0.5646,1.2730,759.3961,0.0334
10,0.03,0.6026,1.3205,779.0252,0.0180
11,0.03,0.6133,1.3326,812.8408,0.0682
12,0.03,0.6316,1.3695,813.3624,0.0883
13,0.03,0.6350,1.3623,803.8266,0.0600
14,0.03,0.6905,1.3303,793.8981,0.1044
15,0.03,0.7218,1.1898,799.4359,0.1211
16,0.03,0.7347,1.0966,831.4846,0.1084
17,0.03,0.7593,0.9355,841.0440,0.0847
18,0.03,0.7861,0.9339,834.3489,0.1059
19,0.03,0.7789,1.0075,802.0284,0.1151
20,0.03,0.7912,0.9214,791.3254,0.0953
21,0.03,0.7650,0.9001,788.6447,0.0194
22,0.03,0.7197,1.0069,787.6591,-0.0042
23,0.03,0.7046,1.0223,787.4547,-0.0306
24,0.03,0.7340,0.9941,778.6062,-0.0631
25,0.03,0.7397,1.0456,769.5947,-0.0221
26,0.03,0.7385,0.9238,782.2542,-0.0139
27,0.03,0.7392,0.9476,775.1090,-0.0397
28,0.03,0.7438,0.9139,756.1284,-0.0526
29,0.03,0.7717,0.8505,761.1700,-0.0499
