time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.70,0.9387,0.4296,811.2401,0.0034
1,0.70,0.9753,0.2250,805.5587,-0.0035
2,0.70,0.9767,0.2184,799.3045,-0.0118
3,0.70,0.9861,0.1680,792.0003,-0.0073
4,0.70,0.9813,0.1976,792.7706,-0.0153
5,0.70,0.9845,0.1767,792.8635,-0.0228
6,0.70,0.9865,0.1652,802.4429,-0.0138
7,0.70,0.9827,0.1883,797.7487,-0.0059
8,0.70,0.9817,0.1926,794.7204,0.0043
9,0.70,0.9819,0.1919,794.8079,0.0030
10,0.70,0.9832,0.1843,797.8025,-0.0343
11,0.70,0.9805,0.2004,809.7689,-0.0120
12,0.70,0.9786,0.2112,806.4169,-0.0159
13,0.70,0.9786,0.2112,806.4169,-0.0159
14,0.70,0.9786,0.2112,806.4169,-0.0159
15,0.70,0.9786,0.2112,806.4169,-0.0159
16,0.70,0.9786,0.2112,806.4169,-0.0159
17,0.70,0.9786,0.2112,806.4169,-0.0159
18,0.70,0.9786,0.2112,806.4169,-0.0159
19,0.70,0.9786,0.2112,806.4169,-0.0159
20,0.70,0.9786,0.2112,806.4169,-0.0159
21,0.70,0.9786,0.2112,806.4169,-0.0159
22,0.70,0.9786,0.2112,806.4169,-0.0159
23,0.70,0.9786,0.2112,806.4169,-0.0159
24,0.70,0.9786,0.2112,806.4169,-0.0159
25,0.70,0.9786,0.2112,806.4169,-0.0159
26,0.70,0.9786,0.2112,806.4169,-0.0159
27,0.70,0.9786,0.2112,806.4169,-0.0159
28,0.70,0.9786,0.2112,806.4169,-0.0159
29,0.70,0.9786,0.2112,806.4169,-0.0159
