time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.0413,1.7555,855.4909,-0.0318
1,0.01,0.0373,1.7871,861.0608,-0.0235
2,0.01,0.0536,1.7607,836.3770,-0.0533
3,0.01,0.0501,1.7512,810.6503,-0.0389
4,0.01,0.0682,1.7243,793.2810,-0.0367
5,0.01,0.0889,1.6910,794.6623,-0.0564
6,0.01,0.1365,1.6528,793.1375,-0.0562
7,0.01,0.1393,1.6751,799.5272,-0.0698
8,0.01,0.1598,1.7053,796.4177,-0.0399
9,0.01,0.2455,1.6588,798.1767,-0.0301
10,0.01,0.2500,1.7246,785.1636,-0.0266
11,0.01,0.2540,1.6417,776.6354,-0.0878
12,0.01,0.2544,1.5953,801.2042,-0.1320
13,0.01,0.2729,1.5616,813.9164,-0.1522
14,0.01,0.2522,1.5504,809.0608,-0.1510
15,0.01,0.3250,1.4708,823.2094,-0.1553
16,0.01,0.3920,1.4310,843.2189,-0.1797
17,0.01,0.4209,1.3864,845.6391,-0.1912
18,0.01,0.4657,1.2920,863.2675,-0.2664
19,0.01,0.5082,1.2073,876.6225,-0.2757
20,0.01,0.5425,1.2722,913.7231,-0.2514
21,0.01,0.5531,1.2434,917.2755,-0.2718
22,0.01,0.6019,1.1523,897.4690,-0.3038
23,0.01,0.6168,1.1818,874.3628,-0.2795
24,0.01,0.5676,1.2655,862.1915,-0.2649
25,0.01,0.5479,1.2165,845.1202,-0.1675
26,0.01,0.5392,1.3803,812.4065,-0.0786
27,0.01,0.5796,1.2079,817.8588,-0.0681
28,0.01,0.5837,1.2569,819.9369,-0.0155
29,0.01,0.5705,1.3376,808.9111,-0.0550
