time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.1575,1.8901,832.0124,0.0769
1,0.02,0.2364,1.9136,821.1562,0.0967
2,0.02,0.2792,1.8111,799.9337,0.0428
3,0.02,0.3081,1.7040,781.7218,0.0297
4,0.02,0.3408,1.6289,777.9410,-0.0129
5,0.02,0.3894,1.5218,773.8796,-0.0358
6,0.02,0.4218,1.5191,763.0947,-0.0590
7,0.02,0.4279,1.4970,755.3743,-0.0846
8,0.02,0.4310,1.4577,737.2068,-0.0858
9,0.02,0.4899,1.4022,745.0832,-0.0800
10,0.02,0.5316,1.2582,746.8816,-0.1385
11,0.02,0.5411,1.3053,745.6097,-0.1585
12,0.02,0.5425,1.2822,759.3926,-0.1304
13,0.02,0.5672,1.3390,784.4091,-0.1228
14,0.02,0.6381,1.1514,768.6742,-0.1634
15,0.02,0.6844,1.1090,777.9539,-0.0959
16,0.02,0.7053,1.1580,781.5196,-0.0831
17,0.02,0.7021,1.1541,795.3174,-0.0985
18,0.02,0.7475,0.9270,802.2236,-0.1110
19,0.02,0.7503,0.9624,804.1399,-0.0870
20,0.02,0.7308,1.0345,813.8292,-0.0623
21,0.02,0.7587,0.9375,838.3651,-0.0269
22,0.02,0.7843,0.7606,836.1587,-0.0266
23,0.02,0.7890,0.8356,833.4982,-0.0367
24,0.02,0.7669,0.8598,847.0510,-0.0009
25,0.02,0.7631,0.9104,836.7884,-0.0005
26,0.02,0.7601,0.8459,827.6621,0.0094
27,0.02,0.7118,0.9481,832.6322,0.0238
28,0.02,0.7334,0.9709,817.3319,-0.0300
29,0.02,0.7402,0.9712,790.5457,-0.0259
