time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.0202,1.8222,802.5871,-0.0092
1,0.01,0.0347,1.8149,796.3215,-0.0254
2,0.01,0.0377,1.8406,784.4175,-0.0042
3,0.01,0.0975,1.8036,779.5818,-0.0071
4,0.01,0.1551,1.7783,783.2383,-0.0203
5,0.01,0.1411,1.7741,803.6156,-0.0492
6,0.01,0.1355,1.7366,825.6395,-0.0813
7,0.01,0.1175,1.8368,844.0853,-0.0128
8,0.01,0.1541,1.8273,888.2106,0.0122
9,0.01,0.1757,1.8782,920.4869,0.0759
10,0.01,0.1642,1.8831,915.5242,0.1102
11,0.01,0.1633,1.9767,862.1444,0.1478
12,0.01,0.2014,2.1112,786.0232,0.2002
13,0.01,0.1477,2.0007,743.2586,0.1334
14,0.01,0.1628,1.9558,751.5720,0.1238
15,0.01,0.1642,1.9437,720.6096,0.1118
16,0.01,0.2097,1.8207,717.7031,0.0817
17,0.01,0.2123,1.8936,739.9492,0.0905
18,0.01,0.2798,1.7266,765.4552,0.0788
19,0.01,0.3437,1.7215,788.7052,0.0652
20,0.01,0.3683,1.7906,806.7490,0.0934
21,0.01,0.4340,1.7771,862.2407,0.1704
22,0.01,0.5045,1.6908,885.6227,0.2098
23,0.01,0.4709,1.7092,927.7768,0.1926
24,0.01,0.4680,1.7447,937.8072,0.2141
25,0.01,0.4414,1.7015,937.3726,0.1502
26,0.01,0.4115,1.7351,916.2678,0.0897
27,0.01,0.4336,1.6988,902.8376,0.0534
28,0.01,0.5163,1.6487,889.6514,0.1131
29,0.01,0.5718,1.5599,870.0636,0.1730
