time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.0506,1.7946,808.1362,-0.0184
1,0.01,0.0675,1.7214,821.7969,-0.0612
2,0.01,0.1209,1.6959,831.9696,-0.1169
3,0.01,0.1579,1.6585,837.8115,-0.1579
4,0.01,0.1910,1.6183,860.1083,-0.1903
5,0.01,0.2199,1.5772,854.9031,-0.2175
6,0.01,0.2798,1.4954,865.6908,-0.2718
7,0.01,0.3092,1.4835,884.8302,-0.3057
8,0.01,0.3164,1.4679,871.0058,-0.3132
9,0.01,0.3339,1.4101,857.0922,-0.3331
10,0.01,0.3520,1.4052,826.3410,-0.3517
11,0.01,0.3720,1.3625,788.1594,-0.3717
12,0.01,0.3716,1.3859,774.6423,-0.3643
13,0.01,0.3994,1.3141,776.9196,-0.3829
14,0.01,0.4164,1.2939,779.3082,-0.4003
15,0.01,0.4559,1.2324,793.1556,-0.4242
16,0.01,0.4942,1.2088,805.1340,-0.4716
17,0.01,0.4954,1.1966,833.1808,-0.4730
18,0.01,0.4964,1.1972,856.5591,-0.4650
19,0.01,0.4925,1.2332,863.0268,-0.4580
20,0.01,0.5225,1.1876,841.1026,-0.4704
21,0.01,0.4889,1.2155,843.7735,-0.4219
22,0.01,0.5189,1.2029,879.5655,-0.4165
23,0.01,0.5015,1.2100,863.5542,-0.3862
24,0.01,0.4751,1.2779,835.8372,-0.3216
25,0.01,0.4407,1.3814,818.0898,-0.2308
26,0.01,0.4353,1.4133,796.2707,-0.1961
27,0.01,0.5166,1.3658,789.5325,-0.1650
28,0.01,0.5398,1.2508,804.7025,-0.1601
29,0.01,0.5611,1.3172,789.9554,-0.1869
