time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.1603,1.7019,817.1392,-0.1075
1,0.02,0.1832,1.6867,806.9853,-0.1200
2,0.02,0.1625,1.6877,811.5634,-0.1052
3,0.02,0.1191,1.7256,817.1327,-0.0824
4,0.02,0.0673,1.7869,819.8162,-0.0380
5,0.02,0.1525,1.6996,823.1061,-0.1083
6,0.02,0.2078,1.6883,826.6379,-0.0970
7,0.02,0.2232,1.7467,806.5148,-0.0066
8,0.02,0.2379,1.7502,807.6762,0.0196
9,0.02,0.2322,1.6692,812.6056,-0.0254
10,0.02,0.2966,1.5278,824.6000,-0.1235
11,0.02,0.3043,1.4918,835.3331,-0.1549
12,0.02,0.3641,1.4431,812.9891,-0.1280
13,0.02,0.3667,1.4722,807.1983,-0.1223
14,0.02,0.3691,1.4705,811.6159,-0.1455
15,0.02,0.4053,1.4003,839.7968,-0.1837
16,0.02,0.4718,1.2960,848.3461,-0.1878
17,0.02,0.5042,1.2291,841.2520,-0.2534
18,0.02,0.5101,1.2676,837.2090,-0.2321
19,0.02,0.5558,1.1980,820.7158,-0.2545
20,0.02,0.5245,1.2527,814.1292,-0.2518
21,0.02,0.5483,1.2761,809.7247,-0.2273
22,0.02,0.5228,1.2747,833.6126,-0.2104
23,0.02,0.6033,1.1518,816.8489,-0.2850
24,0.02,0.6190,1.1328,805.7561,-0.2657
25,0.02,0.6079,1.1679,795.0106,-0.2306
26,0.02,0.6051,1.2311,787.7381,-0.1600
27,0.02,0.6361,1.1412,801.8338,-0.1925
28,0.02,0.6547,1.0852,818.5573,-0.1661
29,0.02,0.7161,1.1043,818.3276,-0.1426
