time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.04,0.0764,1.7665,827.2065,-0.0221
1,0.04,0.2042,1.7480,828.4524,-0.0307
2,0.04,0.2427,1.6377,821.6525,-0.0615
3,0.04,0.3324,1.5981,827.8744,-0.0999
4,0.04,0.3629,1.5936,811.7586,-0.0536
5,0.04,0.4555,1.4293,780.3951,-0.0878
6,0.04,0.5164,1.3506,757.7213,-0.0855
7,0.04,0.5507,1.2800,749.2574,-0.1005
8,0.04,0.6087,1.2251,763.8461,-0.1077
9,0.04,0.7000,1.0869,784.2948,-0.0565
10,0.04,0.7186,1.0717,779.6130,-0.0379
11,0.04,0.7558,0.9836,734.7474,0.0217
12,0.04,0.7617,0.9422,708.8461,-0.0172
13,0.04,0.7824,0.8867,728.8219,0.0109
14,0.04,0.7874,1.0443,769.9392,0.0342
15,0.04,0.8087,0.9380,751.3028,0.0966
16,0.04,0.8202,0.8025,712.8218,0.0515
17,0.04,0.8462,0.5872,711.3767,0.0344
18,0.04,0.8450,0.7672,740.7815,0.0567
19,0.04,0.7881,0.9269,783.4729,0.0241
20,0.04,0.7831,1.0028,804.7989,0.0267
21,0.04,0.8042,0.9700,794.7232,0.0976
22,0.04,0.8173,0.7253,775.9526,0.0727
23,0.04,0.8171,0.8381,774.0841,0.1263
24,0.04,0.8159,0.8486,806.5314,0.0571
25,0.04,0.8073,0.6912,835.8513,0.0584
26,0.04,0.8049,0.7944,826.6912,0.0356
27,0.04,0.8108,0.7244,833.6807,0.0238
28,0.04,0.8088,0.7052,841.7063,0.0169
29,0.04,0.7952,0.8057,861.6230,0.0289
