time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.1104,1.8508,830.0479,0.0563
1,0.01,0.1623,1.8563,839.1153,0.0780
2,0.01,0.2142,1.7874,824.1448,0.0734
3,0.01,0.2111,1.8640,808.2199,0.0932
4,0.01,0.2151,1.7925,788.6616,0.0641
5,0.01,0.2366,1.7588,824.1467,0.0797
6,0.01,0.2854,1.7703,853.8899,0.0929
7,0.01,0.2631,1.8038,877.5248,0.0551
8,0.01,0.2571,1.7927,873.7822,0.0278
9,0.01,0.2772,1.8493,851.4257,0.0612
10,0.01,0.3058,1.8461,821.5524,0.0614
11,0.01,0.2997,1.8839,791.0689,0.0765
12,0.01,0.3345,1.7504,776.0111,0.0564
13,0.01,0.3723,1.8014,767.8414,0.0980
14,0.01,0.3643,1.8407,762.0877,0.1339
15,0.01,0.3803,1.7376,742.5102,0.1172
16,0.01,0.4304,1.6831,757.5439,0.0918
17,0.01,0.4382,1.6387,762.6148,0.0153
18,0.01,0.4874,1.6225,779.1384,0.0183
19,0.01,0.4867,1.6063,826.6715,0.0274
20,0.01,0.5255,1.5000,868.1961,0.0499
21,0.01,0.5919,1.3871,851.3009,0.0565
22,0.01,0.6400,1.3298,824.3870,0.0261
23,0.01,0.5943,1.3383,816.4437,-0.0097
24,0.01,0.6008,1.1625,819.4406,0.0042
25,0.01,0.6256,1.1619,815.6230,-0.0364
26,0.01,0.6079,1.3433,823.2460,-0.0165
27,0.01,0.6317,1.2879,859.9496,-0.1141
28,0.01,0.6532,1.1808,870.1296,-0.1165
29,0.01,0.6670,1.1465,861.9500,-0.1945
