time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.0275,1.8113,828.3565,-0.0248
1,0.02,0.0974,1.7353,839.7621,-0.0664
2,0.02,0.1123,1.7398,858.9280,-0.0539
3,0.02,0.1585,1.7351,865.6944,-0.0484
4,0.02,0.2004,1.7830,860.7498,0.0100
5,0.02,0.2344,1.7466,860.1663,0.0176
6,0.02,0.2309,1.7750,877.5176,0.0264
7,0.02,0.2297,1.8023,884.6983,0.0463
8,0.02,0.2844,1.7933,882.0533,0.0350
9,0.02,0.3434,1.7347,854.1473,0.0447
10,0.02,0.3462,1.6739,815.6480,0.0011
11,0.02,0.4272,1.5646,782.9060,0.0094
12,0.02,0.4629,1.4500,765.9689,0.0064
13,0.02,0.4566,1.5356,766.9457,0.0129
14,0.02,0.4628,1.5284,778.4429,0.0445
15,0.02,0.5108,1.5536,805.0919,0.1077
16,0.02,0.4941,1.5455,811.0281,0.1395
17,0.02,0.5155,1.6476,834.5610,0.1878
18,0.02,0.5197,1.6716,859.2080,0.1965
19,0.02,0.5219,1.6611,899.1633,0.1918
20,0.02,0.5498,1.5402,916.3206,0.1795
21,0.02,0.5924,1.3965,910.2926,0.1600
22,0.02,0.6530,1.1759,903.7937,0.1583
23,0.02,0.6539,1.3707,886.0988,0.1715
24,0.02,0.6743,1.4285,855.3241,0.1943
25,0.02,0.6840,1.4016,839.8960,0.1949
26,0.02,0.6619,1.4665,815.4896,0.2381
27,0.02,0.6926,1.3200,794.2862,0.2269
28,0.02,0.6995,1.4108,780.1908,0.2529
29,0.02,0.7155,1.3192,797.8292,0.2478
