time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9395,0.4336,811.6711,0.0113
1,0.50,0.9751,0.2262,822.1040,-0.0104
2,0.50,0.9820,0.1912,824.4779,0.0100
3,0.50,0.9799,0.2020,821.0827,-0.0022
4,0.50,0.9838,0.1810,825.3462,-0.0024
5,0.50,0.9818,0.1922,824.9053,-0.0212
6,0.50,0.9790,0.2063,815.8580,0.0097
7,0.50,0.9797,0.2027,798.8971,0.0252
8,0.50,0.9834,0.1830,790.9027,0.0036
9,0.50,0.9833,0.1839,790.6421,0.0018
10,0.50,0.9833,0.1839,790.6421,0.0018
11,0.50,0.9833,0.1839,790.6421,0.0018
12,0.50,0.9833,0.1839,790.6421,0.0018
13,0.50,0.9833,0.1839,790.6421,0.0018
14,0.50,0.9833,0.1839,790.6421,0.0018
15,0.50,0.9833,0.1839,790.6421,0.0018
16,0.50,0.9833,0.1839,790.6421,0.0018
17,0.50,0.9833,0.1839,790.6421,0.0018
18,0.50,0.9833,0.1839,790.6421,0.0018
19,0.50,0.9833,0.1839,790.6421,0.0018
20,0.50,0.9833,0.1839,790.6421,0.0018
21,0.50,0.9833,0.1839,790.6421,0.0018
22,0.50,0.9833,0.1839,790.6421,0.0018
23,0.50,0.9833,0.1839,790.6421,0.0018
24,0.50,0.9833,0.1839,790.6421,0.0018
25,0.50,0.9833,0.1839,790.6421,0.0018
26,0.50,0.9833,0.1839,790.6421,0.0018
27,0.50,0.9833,0.1839,790.6421,0.0018
28,0.50,0.9833,0.1839,790.6421,0.0018
29,0.50,0.9833,0.1839,790.6421,0.0018
