time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9245,0.4906,805.8699,0.0203
1,0.50,0.9767,0.2180,803.9140,0.0130
2,0.50,0.9791,0.2063,807.1515,-0.0035
3,0.50,0.9816,0.1934,806.4874,-0.0036
4,0.50,0.9831,0.1848,802.0130,-0.0049
5,0.50,0.9800,0.2016,812.0725,0.0057
6,0.50,0.9771,0.2157,809.6935,-0.0066
7,0.50,0.9772,0.2158,812.6906,-0.0211
8,0.50,0.9738,0.2306,811.5005,-0.0095
9,0.50,0.9738,0.2306,811.5005,-0.0095
10,0.50,0.9738,0.2306,811.5005,-0.0095
11,0.50,0.9738,0.2306,811.5005,-0.0095
12,0.50,0.9738,0.2306,811.5005,-0.0095
13,0.50,0.9738,0.2306,811.5005,-0.0095
14,0.50,0.9738,0.2306,811.5005,-0.0095
15,0.50,0.9738,0.2306,811.5005,-0.0095
16,0.50,0.9738,0.2306,811.5005,-0.0095
17,0.50,0.9738,0.2306,811.5005,-0.0095
18,0.50,0.9738,0.2306,811.5005,-0.0095
19,0.50,0.9738,0.2306,811.5005,-0.0095
20,0.50,0.9738,0.2306,811.5005,-0.0095
21,0.50,0.9738,0.2306,811.5005,-0.0095
22,0.50,0.9738,0.2306,811.5005,-0.0095
23,0.50,0.9738,0.2306,811.5005,-0.0095
24,0.50,0.9738,0.2306,811.5005,-0.0095
25,0.50,0.9738,0.2306,811.5005,-0.0095
26,0.50,0.9738,0.2306,811.5005,-0.0095
27,0.50,0.9738,0.2306,811.5005,-0.0095
28,0.50,0.9738,0.2306,811.5005,-0.0095
29,0.50,0.9738,0.2306,811.5005,-0.0095
