time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9140,0.4272,833.4938,0.0428
1,0.50,0.9430,0.3518,820.7805,0.0216
2,0.50,0.9500,0.3266,825.6244,0.0191
3,0.50,0.9695,0.2506,834.4534,0.0034
4,0.50,0.9704,0.2481,822.6047,-0.0294
5,0.50,0.9735,0.2344,816.4163,-0.0073
6,0.50,0.9726,0.2384,817.8966,0.0017
7,0.50,0.9679,0.2570,833.4769,-0.0259
8,0.50,0.9690,0.2515,838.9081,-0.0070
9,0.50,0.9690,0.2515,838.9081,-0.0070
10,0.50,0.9690,0.2515,838.9081,-0.0070
11,0.50,0.9690,0.2515,838.9081,-0.0070
12,0.50,0.9690,0.2515,838.9081,-0.0070
13,0.50,0.9690,0.2515,838.9081,-0.0070
14,0.50,0.9690,0.2515,838.9081,-0.0070
15,0.50,0.9690,0.2515,838.9081,-0.0070
16,0.50,0.9690,0.2515,838.9081,-0.0070
17,0.50,0.9690,0.2515,838.9081,-0.0070
18,0.50,0.9690,0.2515,838.9081,-0.0070
19,0.50,0.9690,0.2515,838.9081,-0.0070
20,0.50,0.9690,0.2515,838.9081,-0.0070
21,0.50,0.9690,0.2515,838.9081,-0.0070
22,0.50,0.9690,0.2515,838.9081,-0.0070
23,0.50,0.9690,0.2515,838.9081,-0.0070
24,0.50,0.9690,0.2515,838.9081,-0.0070
25,0.50,0.9690,0.2515,838.9081,-0.0070
26,0.50,0.9690,0.2515,838.9081,-0.0070
27,0.50,0.9690,0.2515,838.9081,-0.0070
28,0.50,0.9690,0.2515,838.9081,-0.0070
29,0.50,0.9690,0.2515,838.9081,-0.0070
