time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9354,0.3655,885.3411,-0.0825
1,0.50,0.9522,0.3233,889.7508,-0.0248
2,0.50,0.9530,0.3218,889.0753,-0.0299
3,0.50,0.9530,0.3218,889.0753,-0.0299
4,0.50,0.9530,0.3218,889.0753,-0.0299
5,0.50,0.9530,0.3218,889.0753,-0.0299
6,0.50,0.9530,0.3218,889.0753,-0.0299
7,0.50,0.9530,0.3218,889.0753,-0.0299
8,0.50,0.9530,0.3218,889.0753,-0.0299
9,0.50,0.9530,0.3218,889.0753,-0.0299
10,0.50,0.9530,0.3218,889.0753,-0.0299
11,0.50,0.9530,0.3218,889.0753,-0.0299
12,0.50,0.9530,0.3218,889.0753,-0.0299
13,0.50,0.9530,0.3218,889.0753,-0.0299
14,0.50,0.9530,0.3218,889.0753,-0.0299
15,0.50,0.9530,0.3218,889.0753,-0.0299
16,0.50,0.9530,0.3218,889.0753,-0.0299
17,0.50,0.9530,0.3218,889.0753,-0.0299
18,0.50,0.9530,0.3218,889.0753,-0.0299
19,0.50,0.9530,0.3218,889.0753,-0.0299
20,0.50,0.9530,0.3218,889.0753,-0.0299
21,0.50,0.9530,0.3218,889.0753,-0.0299
22,0.50,0.9530,0.3218,889.0753,-0.0299
23,0.50,0.9530,0.3218,889.0753,-0.0299
24,0.50,0.9530,0.3218,889.0753,-0.0299
25,0.50,0.9530,0.3218,889.0753,-0.0299
26,0.50,0.9560,0.3084,888.3526,-0.0017
27,0.50,0.9783,0.2104,865.9687,-0.0079
28,0.50,0.9690,0.2559,850.0417,-0.0236
29,0.50,0.9670,0.2643,852.4235,-0.0225
