time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9199,0.4332,820.9826,0.0303
1,0.50,0.9295,0.5695,853.6045,0.0003
2,0.50,0.9209,0.6510,870.0434,-0.0186
3,0.50,0.9239,0.4091,824.2767,0.0484
4,0.50,0.9544,0.3116,793.8409,0.0189
5,0.50,0.9488,0.3263,809.1365,0.0236
6,0.50,0.9523,0.3154,839.2735,0.0542
7,0.50,0.9669,0.2602,846.7049,0.0283
8,0.50,0.9768,0.2172,834.4512,0.0155
9,0.50,0.9768,0.2172,834.4512,0.0155
10,0.50,0.9768,0.2172,834.4512,0.0155
11,0.50,0.9768,0.2172,834.4512,0.0155
12,0.50,0.9768,0.2172,834.4512,0.0155
13,0.50,0.9768,0.2172,834.4512,0.0155
14,0.50,0.9768,0.2172,834.4512,0.0155
15,0.50,0.9768,0.2172,834.4512,0.0155
16,0.50,0.9768,0.2172,834.4512,0.0155
17,0.50,0.9768,0.2172,834.4512,0.0155
18,0.50,0.9768,0.2172,834.4512,0.0155
19,0.50,0.9768,0.2172,834.4512,0.0155
20,0.50,0.9768,0.2172,834.4512,0.0155
21,0.50,0.9768,0.2172,834.4512,0.0155
22,0.50,0.9768,0.2172,834.4512,0.0155
23,0.50,0.9768,0.2172,834.4512,0.0155
24,0.50,0.9768,0.2172,834.4512,0.0155
25,0.50,0.9768,0.2172,834.4512,0.0155
26,0.50,0.9768,0.2172,834.4512,0.0155
27,0.50,0.9768,0.2172,834.4512,0.0155
28,0.50,0.9768,0.2172,834.4512,0.0155
29,0.50,0.9768,0.2172,834.4512,0.0155
