time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9001,0.6403,827.8960,-0.0209
1,0.50,0.9354,0.4513,826.7361,0.0124
2,0.50,0.9602,0.2895,813.2505,0.0163
3,0.50,0.9614,0.2833,813.4901,0.0089
4,0.50,0.9515,0.3190,822.7165,-0.0061
5,0.50,0.9541,0.3106,822.7887,0.0214
6,0.50,0.9718,0.2413,814.2119,-0.0159
7,0.50,0.9797,0.2040,801.1356,0.0046
8,0.50,0.9837,0.1822,800.6532,-0.0067
9,0.50,0.9837,0.1822,800.6532,-0.0067
10,0.50,0.9837,0.1822,800.6532,-0.0067
11,0.50,0.9837,0.1822,800.6532,-0.0067
12,0.50,0.9837,0.1822,800.6532,-0.0067
13,0.50,0.9837,0.1822,800.6532,-0.0067
14,0.50,0.9837,0.1822,800.6532,-0.0067
15,0.50,0.9837,0.1822,800.6532,-0.0067
16,0.50,0.9837,0.1822,800.6532,-0.0067
17,0.50,0.9837,0.1822,800.6532,-0.0067
18,0.50,0.9837,0.1822,800.6532,-0.0067
19,0.50,0.9837,0.1822,800.6532,-0.0067
20,0.50,0.9776,0.2142,801.8746,-0.0178
21,0.50,0.9717,0.2427,807.5843,-0.0125
22,0.50,0.9717,0.2427,807.5843,-0.0125
23,0.50,0.9717,0.2427,807.5843,-0.0125
24,0.50,0.9717,0.2427,807.5843,-0.0125
25,0.50,0.9717,0.2427,807.5843,-0.0125
26,0.50,0.9717,0.2427,807.5843,-0.0125
27,0.50,0.9717,0.2427,807.5843,-0.0125
28,0.50,0.9717,0.2427,807.5843,-0.0125
29,0.50,0.9717,0.2427,807.5843,-0.0125
