time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9144,0.4540,823.0065,-0.0874
1,0.50,0.9511,0.3275,833.5305,-0.0541
2,0.50,0.9557,0.3038,840.7713,-0.0391
3,0.50,0.9611,0.2869,842.0289,-0.0133
4,0.50,0.9698,0.2527,830.9446,0.0535
5,0.50,0.9646,0.2713,838.6058,0.0318
6,0.50,0.9722,0.2386,841.8066,0.0033
7,0.50,0.9540,0.3106,840.4463,-0.0331
8,0.50,0.9517,0.3174,841.7874,-0.0375
9,0.50,0.9517,0.3174,841.7874,-0.0375
10,0.50,0.9517,0.3174,841.7874,-0.0375
11,0.50,0.9517,0.3174,841.7874,-0.0375
12,0.50,0.9517,0.3174,841.7874,-0.0375
13,0.50,0.9517,0.3174,841.7874,-0.0375
14,0.50,0.9517,0.3174,841.7874,-0.0375
15,0.50,0.9517,0.3174,841.7874,-0.0375
16,0.50,0.9517,0.3174,841.7874,-0.0375
17,0.50,0.9517,0.3174,841.7874,-0.0375
18,0.50,0.9517,0.3174,841.7874,-0.0375
19,0.50,0.9517,0.3174,841.7874,-0.0375
20,0.50,0.9517,0.3174,841.7874,-0.0375
21,0.50,0.9517,0.3174,841.7874,-0.0375
22,0.50,0.9517,0.3174,841.7874,-0.0375
23,0.50,0.9517,0.3174,841.7874,-0.0375
24,0.50,0.9517,0.3174,841.7874,-0.0375
25,0.50,0.9517,0.3174,841.7874,-0.0375
26,0.50,0.9519,0.3170,840.9118,-0.0320
27,0.50,0.9557,0.3068,828.9192,-0.0021
28,0.50,0.9677,0.2631,804.7771,-0.0238
29,0.50,0.9637,0.2767,806.7078,-0.0070
