time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9087,0.4405,824.5181,-0.0070
1,0.50,0.9599,0.2897,822.3009,-0.0115
2,0.50,0.9699,0.2490,811.8847,-0.0162
3,0.50,0.9745,0.2281,806.6489,0.0039
4,0.50,0.9700,0.2483,808.2375,0.0356
5,0.50,0.9659,0.2664,814.6597,0.0336
6,0.50,0.9651,0.2719,805.8128,0.0130
7,0.50,0.9772,0.2157,794.3312,0.0298
8,0.50,0.9786,0.2085,797.3009,0.0171
9,0.50,0.9779,0.2123,797.3587,0.0191
10,0.50,0.9779,0.2123,797.3587,0.0191
11,0.50,0.9779,0.2123,797.3587,0.0191
12,0.50,0.9779,0.2123,797.3587,0.0191
13,0.50,0.9779,0.2123,797.3587,0.0191
14,0.50,0.9779,0.2123,797.3587,0.0191
15,0.50,0.9779,0.2123,797.3587,0.0191
16,0.50,0.9779,0.2123,797.3587,0.0191
17,0.50,0.9779,0.2123,797.3587,0.0191
18,0.50,0.9779,0.2123,797.3587,0.0191
19,0.50,0.9779,0.2123,797.3587,0.0191
20,0.50,0.9779,0.2123,797.3587,0.0191
21,0.50,0.9779,0.2123,797.3587,0.0191
22,0.50,0.9779,0.2123,797.3587,0.0191
23,0.50,0.9779,0.2123,797.3587,0.0191
24,0.50,0.9779,0.2123,797.3587,0.0191
25,0.50,0.9779,0.2123,797.3587,0.0191
26,0.50,0.9779,0.2123,797.3587,0.0191
27,0.50,0.9779,0.2123,797.3587,0.0191
28,0.50,0.9779,0.2123,797.3587,0.0191
29,0.50,0.9779,0.2123,797.3587,0.0191
