time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9509,0.3235,816.5138,-0.0371
1,0.50,0.9753,0.2252,825.7566,0.0081
2,0.50,0.9804,0.1992,831.8455,0.0071
3,0.50,0.9788,0.2077,836.2372,-0.0130
4,0.50,0.9780,0.2112,841.3014,-0.0222
5,0.50,0.9834,0.1841,845.8554,-0.0138
6,0.50,0.9806,0.1994,851.7441,0.0294
7,0.50,0.9787,0.2082,847.9684,0.0072
8,0.50,0.9787,0.2082,849.5435,0.0050
9,0.50,0.9787,0.2082,849.5435,0.0050
10,0.50,0.9787,0.2082,849.5435,0.0050
11,0.50,0.9787,0.2082,849.5435,0.0050
12,0.50,0.9787,0.2082,849.5435,0.0050
13,0.50,0.9787,0.2082,849.5435,0.0050
14,0.50,0.9787,0.2082,849.5435,0.0050
15,0.50,0.9787,0.2082,849.5435,0.0050
16,0.50,0.9787,0.2082,849.5435,0.0050
17,0.50,0.9787,0.2082,849.5435,0.0050
18,0.50,0.9787,0.2082,849.5435,0.0050
19,0.50,0.9787,0.2082,849.5435,0.0050
20,0.50,0.9787,0.2082,849.5435,0.0050
21,0.50,0.9787,0.2082,849.5435,0.0050
22,0.50,0.9787,0.2082,849.5435,0.0050
23,0.50,0.9787,0.2082,849.5435,0.0050
24,0.50,0.9787,0.2082,849.5435,0.0050
25,0.50,0.9787,0.2082,849.5435,0.0050
26,0.50,0.9787,0.2082,849.5435,0.0050
27,0.50,0.9787,0.2082,849.5435,0.0050
28,0.50,0.9787,0.2082,849.5435,0.0050
29,0.50,0.9787,0.2082,849.5435,0.0050
