time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9286,0.5122,818.1067,0.0119
1,0.50,0.9763,0.2653,825.1506,-0.0183
2,0.50,0.9818,0.1919,834.2568,-0.0255
3,0.50,0.9839,0.1807,828.4955,-0.0182
4,0.50,0.9802,0.2008,820.6579,-0.0297
5,0.50,0.9793,0.2043,819.5674,-0.0057
6,0.50,0.9798,0.2020,825.0696,-0.0147
7,0.50,0.9798,0.2020,825.0696,-0.0147
8,0.50,0.9798,0.2020,825.0696,-0.0147
9,0.50,0.9798,0.2020,825.0696,-0.0147
10,0.50,0.9798,0.2020,825.0696,-0.0147
11,0.50,0.9798,0.2020,825.0696,-0.0147
12,0.50,0.9798,0.2020,825.0696,-0.0147
13,0.50,0.9798,0.2020,825.0696,-0.0147
14,0.50,0.9798,0.2020,825.0696,-0.0147
15,0.50,0.9798,0.2020,825.0696,-0.0147
16,0.50,0.9798,0.2020,825.0696,-0.0147
17,0.50,0.9798,0.2020,825.0696,-0.0147
18,0.50,0.9798,0.2020,825.0696,-0.0147
19,0.50,0.9798,0.2020,825.0696,-0.0147
20,0.50,0.9798,0.2020,825.0696,-0.0147
21,0.50,0.9798,0.2020,825.0696,-0.0147
22,0.50,0.9798,0.2020,825.0696,-0.0147
23,0.50,0.9798,0.2020,825.0696,-0.0147
24,0.50,0.9798,0.2020,825.0696,-0.0147
25,0.50,0.9798,0.2020,825.0696,-0.0147
26,0.50,0.9798,0.2020,825.0696,-0.0147
27,0.50,0.9798,0.2020,825.0696,-0.0147
28,0.50,0.9798,0.2020,825.0696,-0.0147
29,0.50,0.9798,0.2020,825.0696,-0.0147
