time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9383,0.3603,874.8377,0.0038
1,0.50,0.9560,0.3092,859.3491,-0.0096
2,0.50,0.9590,0.2933,850.1677,-0.0571
3,0.50,0.9661,0.2654,838.9598,-0.0600
4,0.50,0.9661,0.2654,838.9598,-0.0600
5,0.50,0.9661,0.2654,838.9598,-0.0600
6,0.50,0.9661,0.2654,838.9598,-0.0600
7,0.50,0.9661,0.2654,838.9598,-0.0600
8,0.50,0.9661,0.2654,838.9598,-0.0600
9,0.50,0.9661,0.2654,838.9598,-0.0600
10,0.50,0.9661,0.2654,838.9598,-0.0600
11,0.50,0.9661,0.2654,838.9598,-0.0600
12,0.50,0.9661,0.2654,838.9598,-0.0600
13,0.50,0.9661,0.2654,838.9598,-0.0600
14,0.50,0.9661,0.2654,838.9598,-0.0600
15,0.50,0.9661,0.2654,838.9598,-0.0600
16,0.50,0.9661,0.2654,838.9598,-0.0600
17,0.50,0.9661,0.2654,838.9598,-0.0600
18,0.50,0.9661,0.2654,838.9598,-0.0600
19,0.50,0.9661,0.2654,838.9598,-0.0600
20,0.50,0.9661,0.2654,838.9598,-0.0600
21,0.50,0.9661,0.2654,838.9598,-0.0600
22,0.50,0.9661,0.2654,838.9598,-0.0600
23,0.50,0.9661,0.2654,838.9598,-0.0600
24,0.50,0.9646,0.2743,840.2249,-0.0346
25,0.50,0.9773,0.2167,863.2175,-0.0009
26,0.50,0.9852,0.1730,843.2309,-0.0266
27,0.50,0.9815,0.1938,837.5641,-0.0357
28,0.50,0.9726,0.2384,847.7487,-0.0436
29,0.50,0.9657,0.2680,834.4530,0.0185
