time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9147,0.5038,832.8754,0.0054
1,0.50,0.9667,0.2651,841.4477,0.0006
2,0.50,0.9773,0.2154,834.8029,-0.0056
3,0.50,0.9764,0.2196,835.8898,-0.0133
4,0.50,0.9801,0.2016,839.1850,-0.0250
5,0.50,0.9800,0.2019,841.4399,-0.0152
6,0.50,0.9807,0.1983,840.8130,0.0300
7,0.50,0.9758,0.2228,837.6071,0.0078
8,0.50,0.9799,0.2030,841.5651,-0.0232
9,0.50,0.9830,0.1868,842.3801,-0.0381
10,0.50,0.9762,0.2211,841.6215,-0.0216
11,0.50,0.9781,0.2119,832.8511,-0.0151
12,0.50,0.9785,0.2095,830.3083,-0.0029
13,0.50,0.9805,0.1996,834.1760,0.0024
14,0.50,0.9796,0.2042,835.7797,0.0039
15,0.50,0.9796,0.2042,835.7797,0.0039
16,0.50,0.9796,0.2042,835.7797,0.0039
17,0.50,0.9796,0.2042,835.7797,0.0039
18,0.50,0.9796,0.2042,835.7797,0.0039
19,0.50,0.9796,0.2042,835.7797,0.0039
20,0.50,0.9796,0.2042,835.7797,0.0039
21,0.50,0.9796,0.2042,835.7797,0.0039
22,0.50,0.9796,0.2042,835.7797,0.0039
23,0.50,0.9796,0.2042,835.7797,0.0039
24,0.50,0.9796,0.2042,835.7797,0.0039
25,0.50,0.9796,0.2042,835.7797,0.0039
26,0.50,0.9796,0.2042,835.7797,0.0039
27,0.50,0.9796,0.2042,835.7797,0.0039
28,0.50,0.9796,0.2042,835.7797,0.0039
29,0.50,0.9796,0.2042,835.7797,0.0039
