time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.8964,0.5954,819.1641,0.0136
1,0.50,0.9522,0.3195,816.0667,0.0247
2,0.50,0.9672,0.2607,807.6298,0.0356
3,0.50,0.9790,0.2062,798.5316,0.0008
4,0.50,0.9721,0.2393,802.9479,0.0012
5,0.50,0.9712,0.2447,788.0881,0.0002
6,0.50,0.9774,0.2158,785.4172,-0.0013
7,0.50,0.9723,0.2403,781.4087,0.0207
8,0.50,0.9739,0.2327,781.3531,0.0150
9,0.50,0.9739,0.2327,781.3531,0.0150
10,0.50,0.9739,0.2327,781.3531,0.0150
11,0.50,0.9739,0.2327,781.3531,0.0150
12,0.50,0.9739,0.2327,781.3531,0.0150
13,0.50,0.9739,0.2327,781.3531,0.0150
14,0.50,0.9739,0.2327,781.3531,0.0150
15,0.50,0.9739,0.2327,781.3531,0.0150
16,0.50,0.9739,0.2327,781.3531,0.0150
17,0.50,0.9739,0.2327,781.3531,0.0150
18,0.50,0.9739,0.2327,781.3531,0.0150
19,0.50,0.9739,0.2327,781.3531,0.0150
20,0.50,0.9739,0.2327,781.3531,0.0150
21,0.50,0.9739,0.2327,781.3531,0.0150
22,0.50,0.9739,0.2327,781.3531,0.0150
23,0.50,0.9739,0.2327,781.3531,0.0150
24,0.50,0.9739,0.2327,781.3531,0.0150
25,0.50,0.9739,0.2327,781.3531,0.0150
26,0.50,0.9738,0.2330,779.9360,-0.0222
27,0.50,0.9738,0.2330,779.9360,-0.0222
28,0.50,0.9738,0.2330,779.9360,-0.0222
29,0.50,0.9738,0.2330,779.9360,-0.0222
