time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9457,0.3381,830.6532,-0.0533
1,0.50,0.9461,0.3387,833.1289,-0.0349
2,0.50,0.9594,0.2965,830.5190,0.0078
3,0.50,0.9648,0.2695,844.0933,0.0619
4,0.50,0.9461,0.3398,849.8333,0.0182
5,0.50,0.9570,0.3003,874.5665,0.0154
6,0.50,0.9685,0.2545,876.7286,-0.0499
7,0.50,0.9606,0.2873,874.0059,-0.0332
8,0.50,0.9825,0.1888,854.9682,-0.0620
9,0.50,0.9730,0.2349,863.4679,-0.0308
10,0.50,0.9853,0.1719,857.9719,0.0101
11,0.50,0.9741,0.2290,853.4007,0.0120
12,0.50,0.9733,0.2365,855.0007,0.0164
13,0.50,0.9531,0.3164,855.3792,0.0036
14,0.50,0.9606,0.2850,862.9279,-0.0230
15,0.50,0.9775,0.2150,863.2330,0.0020
16,0.50,0.9749,0.2278,868.4944,0.0106
17,0.50,0.9659,0.2664,881.7114,0.0156
18,0.50,0.9645,0.2722,899.0356,0.0535
19,0.50,0.9589,0.2932,904.3871,0.0596
20,0.50,0.9673,0.2602,892.8192,0.0011
21,0.50,0.9750,0.2256,887.5587,0.0197
22,0.50,0.9750,0.2256,887.5587,0.0197
23,0.50,0.9750,0.2256,887.5587,0.0197
24,0.50,0.9750,0.2256,887.5587,0.0197
25,0.50,0.9750,0.2256,887.5587,0.0197
26,0.50,0.9750,0.2256,887.5587,0.0197
27,0.50,0.9750,0.2256,887.5587,0.0197
28,0.50,0.9750,0.2256,887.5587,0.0197
29,0.50,0.9750,0.2256,887.5587,0.0197
