time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.8970,0.7128,826.4335,-0.0373
1,0.50,0.9416,0.3519,815.2759,-0.0129
2,0.50,0.9331,0.3805,809.6739,-0.0254
3,0.50,0.9516,0.3214,818.8361,-0.0486
4,0.50,0.9512,0.3231,807.9499,-0.0289
5,0.50,0.9637,0.2767,817.2749,-0.0461
6,0.50,0.9633,0.2749,840.7848,-0.0198
7,0.50,0.9740,0.2303,842.4434,-0.0092
8,0.50,0.9831,0.1852,833.1152,0.0067
9,0.50,0.9729,0.2381,825.8665,0.0316
10,0.50,0.9728,0.2374,837.8130,0.0517
11,0.50,0.9494,0.3267,852.4668,0.0890
12,0.50,0.9528,0.3134,854.3085,0.0413
13,0.50,0.9657,0.2660,842.7663,0.0009
14,0.50,0.9665,0.2626,849.3517,-0.0360
15,0.50,0.9521,0.3218,870.6820,0.0177
16,0.50,0.9577,0.2985,842.6479,0.0122
17,0.50,0.9589,0.2933,839.6386,0.0128
18,0.50,0.9589,0.2933,839.6386,0.0128
19,0.50,0.9589,0.2933,839.6386,0.0128
20,0.50,0.9589,0.2933,839.6386,0.0128
21,0.50,0.9589,0.2933,839.6386,0.0128
22,0.50,0.9589,0.2933,839.6386,0.0128
23,0.50,0.9589,0.2933,839.6386,0.0128
24,0.50,0.9589,0.2933,839.6386,0.0128
25,0.50,0.9600,0.2909,840.2903,-0.0007
26,0.50,0.9724,0.2400,848.5511,-0.0170
27,0.50,0.9670,0.2628,873.6595,-0.0053
28,0.50,0.9646,0.2697,857.8747,0.0452
29,0.50,0.9622,0.2817,829.7686,0.0287
