time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9366,0.4353,833.2652,0.0003
1,0.50,0.9740,0.2323,822.2399,0.0167
2,0.50,0.9808,0.1979,821.1738,0.0095
3,0.50,0.9830,0.1859,819.3284,0.0113
4,0.50,0.9766,0.2196,822.5393,0.0057
5,0.50,0.9807,0.1981,814.6640,-0.0112
6,0.50,0.9821,0.1903,806.7224,-0.0018
7,0.50,0.9846,0.1762,806.2671,-0.0058
8,0.50,0.9803,0.2003,812.3254,-0.0008
9,0.50,0.9763,0.2200,808.6278,-0.0079
10,0.50,0.9763,0.2200,798.5604,-0.0107
11,0.50,0.9816,0.1932,797.4315,0.0015
12,0.50,0.9799,0.2023,805.4526,0.0326
13,0.50,0.9822,0.1901,813.3067,0.0083
14,0.50,0.9794,0.2050,808.6042,-0.0019
15,0.50,0.9752,0.2248,801.3266,0.0037
16,0.50,0.9773,0.2151,805.6264,0.0161
17,0.50,0.9773,0.2151,805.6264,0.0161
18,0.50,0.9773,0.2151,805.6264,0.0161
19,0.50,0.9773,0.2151,805.6264,0.0161
20,0.50,0.9773,0.2151,805.6264,0.0161
21,0.50,0.9773,0.2151,805.6264,0.0161
22,0.50,0.9773,0.2151,805.6264,0.0161
23,0.50,0.9773,0.2151,805.6264,0.0161
24,0.50,0.9773,0.2151,805.6264,0.0161
25,0.50,0.9773,0.2151,805.6264,0.0161
26,0.50,0.9773,0.2151,805.6264,0.0161
27,0.50,0.9773,0.2151,805.6264,0.0161
28,0.50,0.9773,0.2151,805.6264,0.0161
29,0.50,0.9773,0.2151,805.6264,0.0161
