time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9152,0.4312,812.9430,-0.0063
1,0.50,0.9639,0.2818,810.4365,-0.0200
2,0.50,0.9648,0.2714,797.4794,0.0215
3,0.50,0.9721,0.2396,786.8169,0.0085
4,0.50,0.9766,0.2187,784.8677,0.0112
5,0.50,0.9758,0.2224,798.3989,-0.0065
6,0.50,0.9802,0.2002,802.4548,-0.0062
7,0.50,0.9818,0.1922,802.3774,-0.0037
8,0.50,0.9818,0.1922,802.3774,-0.0037
9,0.50,0.9818,0.1922,802.3774,-0.0037
10,0.50,0.9818,0.1922,802.3774,-0.0037
11,0.50,0.9818,0.1922,802.3774,-0.0037
12,0.50,0.9818,0.1922,802.3774,-0.0037
13,0.50,0.9818,0.1922,802.3774,-0.0037
14,0.50,0.9818,0.1922,802.3774,-0.0037
15,0.50,0.9818,0.1922,802.3774,-0.0037
16,0.50,0.9818,0.1922,802.3774,-0.0037
17,0.50,0.9818,0.1922,802.3774,-0.0037
18,0.50,0.9818,0.1922,802.3774,-0.0037
19,0.50,0.9818,0.1922,802.3774,-0.0037
20,0.50,0.9818,0.1922,802.3774,-0.0037
21,0.50,0.9818,0.1922,802.3774,-0.0037
22,0.50,0.9733,0.2333,802.8160,0.0075
23,0.50,0.9705,0.2469,803.8130,-0.0121
24,0.50,0.9766,0.2190,809.0679,-0.0358
25,0.50,0.9791,0.2063,821.6390,-0.0440
26,0.50,0.9733,0.2343,814.7542,-0.0328
27,0.50,0.9724,0.2390,807.1516,-0.0252
28,0.50,0.9721,0.2384,805.1439,0.0092
29,0.50,0.9737,0.2321,809.8980,0.0173
