time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9105,0.4375,809.7726,-0.0286
1,0.50,0.9264,0.3975,836.4206,-0.0175
2,0.50,0.9519,0.3163,820.3402,-0.0078
3,0.50,0.9661,0.2645,800.5215,-0.0291
4,0.50,0.9669,0.2605,783.5574,0.0111
5,0.50,0.9721,0.2417,808.9307,0.0045
6,0.50,0.9615,0.2832,825.3817,0.0280
7,0.50,0.9641,0.2768,806.2639,0.0508
8,0.50,0.9803,0.2000,787.5620,0.0348
9,0.50,0.9828,0.1865,794.9079,0.0238
10,0.50,0.9837,0.1819,819.1582,0.0256
11,0.50,0.9794,0.2050,817.9700,0.0357
12,0.50,0.9794,0.2050,817.9700,0.0357
13,0.50,0.9794,0.2050,817.9700,0.0357
14,0.50,0.9794,0.2050,817.9700,0.0357
15,0.50,0.9794,0.2050,817.9700,0.0357
16,0.50,0.9794,0.2050,817.9700,0.0357
17,0.50,0.9794,0.2050,817.9700,0.0357
18,0.50,0.9794,0.2050,817.9700,0.0357
19,0.50,0.9794,0.2050,817.9700,0.0357
20,0.50,0.9794,0.2050,817.9700,0.0357
21,0.50,0.9794,0.2050,817.9700,0.0357
22,0.50,0.9794,0.2050,817.9700,0.0357
23,0.50,0.9794,0.2050,817.9700,0.0357
24,0.50,0.9794,0.2050,817.9700,0.0357
25,0.50,0.9794,0.2050,817.9700,0.0357
26,0.50,0.9794,0.2050,817.9700,0.0357
27,0.50,0.9794,0.2050,817.9700,0.0357
28,0.50,0.9794,0.2050,817.9700,0.0357
29,0.50,0.9794,0.2050,817.9700,0.0357
