time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9142,0.5187,825.4322,0.0072
1,0.50,0.9686,0.2538,828.0379,-0.0029
2,0.50,0.9736,0.2342,826.6707,-0.0154
3,0.50,0.9788,0.2076,826.2715,-0.0421
4,0.50,0.9827,0.1867,833.4438,-0.0419
5,0.50,0.9802,0.2006,828.7379,-0.0334
6,0.50,0.9816,0.1929,828.6339,-0.0361
7,0.50,0.9816,0.1929,828.6339,-0.0361
8,0.50,0.9816,0.1929,828.6339,-0.0361
9,0.50,0.9816,0.1929,828.6339,-0.0361
10,0.50,0.9816,0.1929,828.6339,-0.0361
11,0.50,0.9816,0.1929,828.6339,-0.0361
12,0.50,0.9816,0.1929,828.6339,-0.0361
13,0.50,0.9816,0.1929,828.6339,-0.0361
14,0.50,0.9816,0.1929,828.6339,-0.0361
15,0.50,0.9816,0.1929,828.6339,-0.0361
16,0.50,0.9816,0.1929,828.6339,-0.0361
17,0.50,0.9816,0.1929,828.6339,-0.0361
18,0.50,0.9816,0.1929,828.6339,-0.0361
19,0.50,0.9816,0.1929,828.6339,-0.0361
20,0.50,0.9816,0.1929,828.6339,-0.0361
21,0.50,0.9816,0.1929,828.6339,-0.0361
22,0.50,0.9816,0.1929,828.6339,-0.0361
23,0.50,0.9816,0.1929,828.6339,-0.0361
24,0.50,0.9816,0.1929,828.6339,-0.0361
25,0.50,0.9816,0.1929,828.6339,-0.0361
26,0.50,0.9816,0.1929,828.6339,-0.0361
27,0.50,0.9816,0.1929,828.6339,-0.0361
28,0.50,0.9816,0.1929,828.6339,-0.0361
29,0.50,0.9816,0.1929,828.6339,-0.0361
