time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.8899,0.7458,796.4777,-0.0070
1,0.50,0.9038,0.5645,775.2543,-0.0489
2,0.50,0.9215,0.5978,794.9282,-0.0323
3,0.50,0.9215,0.5959,815.2177,-0.0253
4,0.50,0.9496,0.3272,817.7007,-0.0270
5,0.50,0.9523,0.3195,788.0063,-0.0429
6,0.50,0.9734,0.2337,785.3858,-0.0220
7,0.50,0.9599,0.2904,810.7785,0.0200
8,0.50,0.9706,0.2464,841.9245,0.0005
9,0.50,0.9614,0.2827,824.0760,-0.0137
10,0.50,0.9453,0.3437,822.5876,-0.0230
11,0.50,0.9679,0.2574,837.6896,-0.0182
12,0.50,0.9572,0.2991,850.2925,-0.0227
13,0.50,0.9572,0.2991,850.2925,-0.0227
14,0.50,0.9572,0.2991,850.2925,-0.0227
15,0.50,0.9572,0.2991,850.2925,-0.0227
16,0.50,0.9572,0.2991,850.2925,-0.0227
17,0.50,0.9572,0.2991,850.2925,-0.0227
18,0.50,0.9572,0.2991,850.2925,-0.0227
19,0.50,0.9572,0.2991,850.2925,-0.0227
20,0.50,0.9572,0.2991,850.2925,-0.0227
21,0.50,0.9572,0.2991,850.2925,-0.0227
22,0.50,0.9599,0.2875,860.0411,-0.0506
23,0.50,0.9416,0.3526,854.1387,-0.0529
24,0.50,0.9424,0.3482,807.2539,-0.0577
25,0.50,0.9450,0.3445,809.2780,-0.0025
26,0.50,0.9606,0.2856,812.8493,0.0132
27,0.50,0.9683,0.2586,812.6682,-0.0083
28,0.50,0.9568,0.3047,784.7960,-0.0246
29,0.50,0.9702,0.2480,781.0170,-0.0002
