time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9102,0.4468,760.8102,-0.0237
1,0.50,0.9364,0.3720,799.3708,-0.0249
2,0.50,0.9191,0.4183,835.6500,-0.0147
3,0.50,0.9403,0.3566,828.7940,-0.0321
4,0.50,0.9497,0.3258,814.6142,-0.0277
5,0.50,0.9474,0.3345,819.8548,0.0668
6,0.50,0.9752,0.2246,807.5297,0.0181
7,0.50,0.9752,0.2246,807.5297,0.0181
8,0.50,0.9752,0.2246,807.5297,0.0181
9,0.50,0.9752,0.2246,807.5297,0.0181
10,0.50,0.9752,0.2246,807.5297,0.0181
11,0.50,0.9752,0.2246,807.5297,0.0181
12,0.50,0.9752,0.2246,807.5297,0.0181
13,0.50,0.9752,0.2246,807.5297,0.0181
14,0.50,0.9752,0.2246,807.5297,0.0181
15,0.50,0.9752,0.2246,807.5297,0.0181
16,0.50,0.9752,0.2246,807.5297,0.0181
17,0.50,0.9752,0.2246,807.5297,0.0181
18,0.50,0.9752,0.2246,807.5297,0.0181
19,0.50,0.9752,0.2246,807.5297,0.0181
20,0.50,0.9752,0.2246,807.5297,0.0181
21,0.50,0.9752,0.2246,807.5297,0.0181
22,0.50,0.9752,0.2246,807.5297,0.0181
23,0.50,0.9752,0.2246,807.5297,0.0181
24,0.50,0.9752,0.2246,807.5297,0.0181
25,0.50,0.9729,0.2356,822.1300,0.0382
26,0.50,0.9859,0.1691,791.8703,0.0166
27,0.50,0.9467,0.3405,790.4702,-0.0046
28,0.50,0.9312,0.3851,804.1134,0.0634
29,0.50,0.9497,0.3257,812.5010,0.0424
