time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.80,0.9596,0.2888,855.5830,0.0069
1,0.80,0.9693,0.2520,846.5459,0.0263
2,0.80,0.9801,0.2018,843.3858,0.0185
3,0.80,0.9814,0.1958,848.9362,0.0188
4,0.80,0.9852,0.1729,852.9545,0.0009
5,0.80,0.9811,0.1966,834.6530,0.0121
6,0.80,0.9834,0.1835,833.7822,-0.0050
7,0.80,0.9849,0.1744,830.6333,0.0338
8,0.80,0.9842,0.1807,849.1043,0.0002
9,0.80,0.9842,0.1807,849.1043,0.0002
10,0.80,0.9842,0.1807,849.1043,0.0002
11,0.80,0.9842,0.1807,849.1043,0.0002
12,0.80,0.9842,0.1807,849.1043,0.0002
13,0.80,0.9842,0.1807,849.1043,0.0002
14,0.80,0.9842,0.1807,849.1043,0.0002
15,0.80,0.9842,0.1807,849.1043,0.0002
16,0.80,0.9842,0.1807,849.1043,0.0002
17,0.80,0.9842,0.1807,849.1043,0.0002
18,0.80,0.9842,0.1807,849.1043,0.0002
19,0.80,0.9842,0.1807,849.1043,0.0002
20,0.80,0.9717,0.2423,850.8881,0.0157
21,0.80,0.9752,0.2265,844.2845,0.0458
22,0.80,0.9807,0.1990,851.3256,0.0192
23,0.80,0.9810,0.1979,850.7076,0.0166
24,0.80,0.9802,0.2013,859.1842,0.0332
25,0.80,0.9877,0.1582,847.8554,0.0245
26,0.80,0.9850,0.1754,838.2033,0.0331
27,0.80,0.9850,0.1746,844.2022,-0.0015
28,0.80,0.9848,0.1760,839.5372,0.0068
29,0.80,0.9813,0.1953,842.5951,0.0119
