time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.60,0.9231,0.5404,812.7245,0.0427
1,0.60,0.9458,0.4286,827.1121,0.0278
2,0.60,0.9781,0.2106,834.7924,0.0277
3,0.60,0.9757,0.2232,835.2109,0.0108
4,0.60,0.9789,0.2065,830.4255,0.0186
5,0.60,0.9793,0.2045,833.5285,0.0132
6,0.60,0.9793,0.2045,833.5285,0.0132
7,0.60,0.9793,0.2045,833.5285,0.0132
8,0.60,0.9793,0.2045,833.5285,0.0132
9,0.60,0.9793,0.2045,833.5285,0.0132
10,0.60,0.9793,0.2045,833.5285,0.0132
11,0.60,0.9793,0.2045,833.5285,0.0132
12,0.60,0.9793,0.2045,833.5285,0.0132
13,0.60,0.9793,0.2045,833.5285,0.0132
14,0.60,0.9793,0.2045,833.5285,0.0132
15,0.60,0.9793,0.2045,833.5285,0.0132
16,0.60,0.9793,0.2045,833.5285,0.0132
17,0.60,0.9793,0.2045,833.5285,0.0132
18,0.60,0.9793,0.2045,833.5285,0.0132
19,0.60,0.9793,0.2045,833.5285,0.0132
20,0.60,0.9724,0.2368,836.4568,0.0020
21,0.60,0.9766,0.2198,838.6163,-0.0050
22,0.60,0.9709,0.2453,846.2195,-0.0007
23,0.60,0.9763,0.2213,843.4272,0.0019
24,0.60,0.9763,0.2194,838.8966,-0.0193
25,0.60,0.9779,0.2118,848.2977,0.0089
26,0.60,0.9738,0.2316,849.6371,0.0081
27,0.60,0.9803,0.2012,845.1908,0.0229
28,0.60,0.9829,0.1863,834.4984,0.0275
29,0.60,0.9814,0.1949,830.3321,-0.0141
