time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTB8dz0w
0,0.7,0.9495,0.3254,815.5741,-0.0118,,,
1,0.7,0.9496,0.3251,815.3268,-0.0119,,,
2,0.7,0.9496,0.3251,815.3268,-0.0119,,,
3,0.7,0.9496,0.3251,815.3268,-0.0119,,,
4,0.7,0.9496,0.3251,815.3268,-0.0119,,,
5,0.7,0.9496,0.3251,815.3268,-0.0119,,,
6,0.7,0.9496,0.3251,815.3268,-0.0119,,,
7,0.7,0.9496,0.3251,815.3268,-0.0119,,,
8,0.7,0.9496,0.3251,815.3268,-0.0119,,,
9,0.7,0.9485,0.3302,812.6815,-0.014,,,
10,0.7,0.9734,0.233,798.2985,0.0303,,,
11,0.7,0.9757,0.2221,797.1078,0.0375,,,
12,0.7,0.9757,0.2221,797.1078,0.0375,,,
13,0.7,0.9757,0.2221,797.1078,0.0375,,,
14,0.7,0.9791,0.2063,798.8729,0.0152,,,
15,0.7,0.9799,0.2023,809.3468,0.0452,,,
16,0.7,0.9831,0.1853,805.3456,-0.0142,,,
17,0.7,0.9836,0.1825,796.8897,-0.0119,,,
18,0.7,0.981,0.1985,794.2562,-0.0021,,,
19,0.7,0.9795,0.2039,809.8386,-0.0029,,,
20,0.7,0.9837,0.182,828.8734,-0.0103,,,
21,0.7,0.9852,0.1731,822.3533,0.0108,,,
22,0.7,0.9824,0.1887,817.8148,0.0039,,,
23,0.7,0.9876,0.1582,824.3243,0.0035,,,
24,0.7,0.9782,0.2111,843.2397,-0.0134,,,
25,0.7,0.9823,0.1896,842.1236,0.005,,,
26,0.7,0.9812,0.1955,826.1719,0.0231,,,
27,0.7,0.9807,0.1985,816.5781,0.0302,,,
28,0.7,0.9852,0.1727,836.5164,0.0293,,,
29,0.7,0.9739,0.2339,849.3717,0.0192,,,
