time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.80,0.9569,0.2997,825.7281,-0.0312
1,0.80,0.9726,0.2375,830.0393,-0.0321
2,0.80,0.9806,0.1986,836.8599,-0.0123
3,0.80,0.9780,0.2113,827.5217,-0.0045
4,0.80,0.9842,0.1790,818.5795,-0.0128
5,0.80,0.9870,0.1619,828.6856,-0.0013
6,0.80,0.9817,0.1933,831.3213,0.0155
7,0.80,0.9806,0.1994,828.6072,0.0295
8,0.80,0.9806,0.1994,828.6072,0.0295
9,0.80,0.9806,0.1994,828.6072,0.0295
10,0.80,0.9806,0.1994,828.6072,0.0295
11,0.80,0.9806,0.1994,828.6072,0.0295
12,0.80,0.9806,0.1994,828.6072,0.0295
13,0.80,0.9766,0.2191,818.9605,0.0168
14,0.80,0.9747,0.2288,817.5663,0.0199
15,0.80,0.9830,0.1857,823.5512,0.0121
16,0.80,0.9833,0.1835,831.5284,0.0153
17,0.80,0.9866,0.1647,829.5723,0.0046
18,0.80,0.9857,0.1703,824.8431,-0.0283
19,0.80,0.9851,0.1737,822.0765,-0.0360
20,0.80,0.9829,0.1866,821.5866,-0.0256
21,0.80,0.9846,0.1770,811.3962,-0.0261
22,0.80,0.9847,0.1767,803.7229,-0.0298
23,0.80,0.9878,0.1569,801.9262,-0.0164
24,0.80,0.9831,0.1849,807.5744,-0.0148
25,0.80,0.9833,0.1839,816.3157,-0.0112
26,0.80,0.9855,0.1711,812.6377,-0.0155
27,0.80,0.9854,0.1719,806.4349,0.0070
28,0.80,0.9848,0.1755,811.9807,-0.0070
29,0.80,0.9886,0.1513,807.1141,0.0018
