time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.10,0.3567,1.6105,845.8549,-0.0327
1,0.10,0.5323,1.3230,846.9399,-0.0736
2,0.10,0.6814,1.0905,856.7896,-0.0753
3,0.10,0.7814,0.9441,850.7534,-0.0754
4,0.10,0.8169,0.7205,853.5076,-0.0984
5,0.10,0.8274,0.7136,854.7118,-0.0478
6,0.10,0.8583,0.6340,829.3246,-0.0248
7,0.10,0.8609,0.6954,844.7859,-0.0153
8,0.10,0.8829,0.6933,849.0785,-0.0098
9,0.10,0.8822,0.7143,851.3959,-0.0024
10,0.10,0.8806,0.6979,856.3922,-0.0235
11,0.10,0.8677,0.5788,853.3096,-0.0198
12,0.10,0.8656,0.5874,863.1998,-0.0420
13,0.10,0.8985,0.5196,882.7908,0.0125
14,0.10,0.8996,0.4621,872.3809,0.0198
15,0.10,0.8903,0.4832,843.8335,-0.0063
16,0.10,0.8634,0.6416,827.3959,0.0011
17,0.10,0.8780,0.7580,837.8701,0.0204
18,0.10,0.9005,0.5776,860.6212,0.0425
19,0.10,0.9064,0.5250,864.5433,0.0577
20,0.10,0.9270,0.4001,862.0221,0.0336
21,0.10,0.9156,0.5264,839.9165,0.0515
22,0.10,0.8854,0.6183,829.7989,0.0278
23,0.10,0.9018,0.4654,846.6615,0.0465
24,0.10,0.8782,0.5718,868.2708,0.0062
25,0.10,0.8848,0.5265,860.8337,0.0264
26,0.10,0.8951,0.4940,857.3265,-0.0060
27,0.10,0.9009,0.4609,844.6666,-0.0035
28,0.10,0.9013,0.4587,848.1281,-0.0348
29,0.10,0.9070,0.5469,873.8797,-0.0070
