time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.20,0.5787,1.3831,828.6547,-0.0081
1,0.20,0.7523,1.0771,813.2498,0.0234
2,0.20,0.7552,1.1057,812.8163,0.0256
3,0.20,0.7552,1.1057,812.8163,0.0256
4,0.20,0.7552,1.1057,812.8163,0.0256
5,0.20,0.7552,1.1057,812.8163,0.0256
6,0.20,0.7552,1.1057,812.8163,0.0256
7,0.20,0.7552,1.1057,812.8163,0.0256
8,0.20,0.7552,1.1057,812.8163,0.0256
9,0.20,0.7552,1.1057,812.8163,0.0256
10,0.20,0.7552,1.1057,812.8163,0.0256
11,0.20,0.7552,1.1057,812.8163,0.0256
12,0.20,0.7552,1.1057,812.8163,0.0256
13,0.20,0.7552,1.1057,812.8163,0.0256
14,0.20,0.7552,1.1057,812.8163,0.0256
15,0.20,0.7552,1.1057,812.8163,0.0256
16,0.20,0.7552,1.1057,812.8163,0.0256
17,0.20,0.7552,1.1057,812.8163,0.0256
18,0.20,0.7552,1.1057,812.8163,0.0256
19,0.20,0.7552,1.1057,812.8163,0.0256
20,0.20,0.7552,1.1057,812.8163,0.0256
21,0.20,0.7552,1.1057,812.8163,0.0256
22,0.20,0.7552,1.1057,812.8163,0.0256
23,0.20,0.7552,1.1057,812.8163,0.0256
24,0.20,0.7552,1.1057,812.8163,0.0256
25,0.20,0.7552,1.1057,812.8163,0.0256
26,0.20,0.7552,1.1057,812.8163,0.0256
27,0.20,0.7552,1.1057,812.8163,0.0256
28,0.20,0.7552,1.1057,812.8163,0.0256
29,0.20,0.7552,1.1057,812.8163,0.0256
