time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.20,0.6487,1.1073,807.0447,-0.0829
1,0.20,0.7979,0.8918,801.2307,-0.0778
2,0.20,0.8579,0.7205,804.4887,-0.0176
3,0.20,0.9166,0.4894,820.3347,0.0344
4,0.20,0.9211,0.4971,824.1497,0.0419
5,0.20,0.9421,0.3473,818.3735,0.0324
6,0.20,0.9468,0.3331,821.1056,0.0319
7,0.20,0.9468,0.3331,821.1056,0.0319
8,0.20,0.9468,0.3331,821.1056,0.0319
9,0.20,0.9468,0.3331,821.1056,0.0319
10,0.20,0.9468,0.3331,821.1056,0.0319
11,0.20,0.9468,0.3331,821.1056,0.0319
12,0.20,0.9468,0.3331,821.1056,0.0319
13,0.20,0.9308,0.3821,815.8315,0.0086
14,0.20,0.9415,0.3520,814.6878,0.0011
15,0.20,0.9340,0.3746,834.1747,-0.0187
16,0.20,0.9352,0.3679,813.5474,-0.0578
17,0.20,0.9447,0.3405,809.3073,0.0098
18,0.20,0.9267,0.5113,804.1723,-0.0057
19,0.20,0.9339,0.3715,813.8825,-0.0143
20,0.20,0.9478,0.3304,840.9743,-0.0084
21,0.20,0.9475,0.3306,834.8791,0.0241
22,0.20,0.9418,0.3487,827.6501,0.0149
23,0.20,0.9538,0.3082,826.7177,0.0352
24,0.20,0.9511,0.3185,831.6249,0.0162
25,0.20,0.9240,0.4051,850.9062,0.0146
26,0.20,0.9255,0.3977,855.4541,0.0063
27,0.20,0.9444,0.3397,847.4891,0.0110
28,0.20,0.9441,0.3418,854.1185,0.0602
29,0.20,0.9401,0.3544,848.4522,0.0651
