time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.04,0.1368,1.7220,808.8062,-0.0607
1,0.04,0.1159,1.8188,823.0040,0.0093
2,0.04,0.2189,1.8058,843.3912,0.0125
3,0.04,0.3282,1.8469,829.4487,0.1127
4,0.04,0.3763,1.7083,809.3526,0.0871
5,0.04,0.4869,1.7107,808.2424,0.1301
6,0.04,0.5346,1.6035,843.5217,0.1395
7,0.04,0.5719,1.5014,846.3531,0.1104
8,0.04,0.6128,1.3850,846.6691,0.1072
9,0.04,0.6364,1.3790,810.5577,0.1391
10,0.04,0.6544,1.3886,776.4189,0.0928
11,0.04,0.7171,1.2051,772.2122,0.0664
12,0.04,0.7698,0.9649,776.0606,0.0730
13,0.04,0.7754,1.0064,782.6930,0.0468
14,0.04,0.7787,1.0452,787.0916,0.1103
15,0.04,0.7744,1.0184,779.5928,0.1265
16,0.04,0.7619,1.1130,787.1812,0.1275
17,0.04,0.7703,1.1896,801.1714,0.1319
18,0.04,0.8022,0.9047,818.7924,0.1583
19,0.04,0.8179,0.8061,867.6202,0.1259
20,0.04,0.8145,0.8292,888.9312,0.0434
21,0.04,0.7904,0.9369,865.9950,0.0489
22,0.04,0.8043,0.8147,836.2656,0.0451
23,0.04,0.8136,0.8237,829.6529,-0.0000
24,0.04,0.8250,0.7714,823.0666,0.0069
25,0.04,0.8233,0.8430,825.4202,0.0299
26,0.04,0.8367,0.7432,813.1123,0.0613
27,0.04,0.8034,0.7796,774.3767,0.0791
28,0.04,0.7753,1.1073,752.3581,0.0788
29,0.04,0.8097,0.8053,742.7691,0.1065
