time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.01,0.2036,1.9476,818.8629,0.1362
1,0.01,0.2152,1.9713,801.5519,0.1707
2,0.01,0.2330,2.0172,791.1765,0.2116
3,0.01,0.2189,2.0070,775.7965,0.1740
4,0.01,0.2722,2.0330,772.3840,0.2011
5,0.01,0.2828,1.9685,775.1217,0.2178
6,0.01,0.2995,1.9815,787.7251,0.2204
7,0.01,0.3253,2.0438,796.5244,0.2456
8,0.01,0.3478,2.0083,803.6271,0.2471
9,0.01,0.3036,1.9490,835.0253,0.1772
10,0.01,0.3274,1.8889,856.8547,0.1617
11,0.01,0.3628,1.7777,876.9825,0.1487
12,0.01,0.4424,1.7025,887.0454,0.1849
13,0.01,0.5122,1.5935,881.4675,0.1704
14,0.01,0.5073,1.6370,839.5319,0.1626
15,0.01,0.4776,1.5925,798.6487,0.1347
16,0.01,0.4601,1.5288,779.6658,0.1057
17,0.01,0.5222,1.4646,777.4962,0.1139
18,0.01,0.5395,1.4286,789.5732,0.0988
19,0.01,0.5627,1.3723,799.2591,0.0914
20,0.01,0.5746,1.3536,812.0418,0.1294
21,0.01,0.6083,1.2432,832.1505,0.0997
22,0.01,0.6206,1.3463,843.2816,0.1136
23,0.01,0.6522,1.2844,856.2596,0.1651
24,0.01,0.6405,1.2433,870.1578,0.0932
25,0.01,0.6719,1.2071,880.2424,0.0553
26,0.01,0.6824,1.1593,890.7982,0.0917
27,0.01,0.7377,0.9679,877.1680,0.0471
28,0.01,0.6901,1.2196,863.0605,0.0398
29,0.01,0.6799,1.1213,846.8107,-0.0096
