time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.0748,1.7324,832.8749,-0.0746
1,0.02,0.0762,1.7335,836.0491,-0.0689
2,0.02,0.1323,1.6966,849.1921,-0.0957
3,0.02,0.1343,1.6952,862.3319,-0.0788
4,0.02,0.1646,1.7151,850.7793,-0.0218
5,0.02,0.1879,1.7196,824.5953,0.0202
6,0.02,0.2365,1.6432,798.9362,-0.0451
7,0.02,0.2752,1.6031,785.1108,-0.0582
8,0.02,0.2937,1.5520,770.4607,-0.0976
9,0.02,0.3007,1.4859,773.3345,-0.1502
10,0.02,0.3501,1.4483,802.8179,-0.1617
11,0.02,0.3753,1.3678,787.0317,-0.1759
12,0.02,0.4498,1.3051,744.7802,-0.2339
13,0.02,0.4676,1.3225,706.6151,-0.2316
14,0.02,0.5147,1.2796,698.6641,-0.2190
15,0.02,0.5244,1.2840,721.3128,-0.2056
16,0.02,0.5039,1.3336,756.1804,-0.1838
17,0.02,0.5167,1.2789,763.8636,-0.2220
18,0.02,0.5432,1.2870,773.4127,-0.1951
19,0.02,0.5565,1.2924,757.3193,-0.1790
20,0.02,0.6259,1.2231,771.2475,-0.1378
21,0.02,0.6820,1.0556,786.6266,-0.1500
22,0.02,0.7298,0.9565,793.1300,-0.1931
23,0.02,0.7198,1.0608,785.1682,-0.1624
24,0.02,0.7203,0.9840,798.4837,-0.1624
25,0.02,0.7514,0.8772,822.3688,-0.1259
26,0.02,0.7327,0.9532,843.7406,-0.0606
27,0.02,0.7288,1.0356,845.1635,-0.0080
28,0.02,0.7005,1.1032,828.1560,0.0141
29,0.02,0.6922,1.1583,815.1429,-0.0011
