time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.03,0.1052,1.7794,789.4271,-0.0135
1,0.03,0.1530,1.7510,786.7781,-0.0116
2,0.03,0.2130,1.7465,799.8927,-0.0359
3,0.03,0.2072,1.7223,831.3860,-0.0616
4,0.03,0.3313,1.6418,856.1126,-0.0036
5,0.03,0.4377,1.5589,880.8181,0.0415
6,0.03,0.4751,1.5122,875.0774,0.0278
7,0.03,0.4830,1.4487,852.6876,0.0335
8,0.03,0.5066,1.3810,840.5328,-0.0024
9,0.03,0.5636,1.3627,838.6931,0.0144
10,0.03,0.6033,1.2878,824.5173,0.0799
11,0.03,0.6192,1.3490,807.4199,0.0864
12,0.03,0.6526,1.3760,748.7353,0.0912
13,0.03,0.7229,1.1194,717.0648,0.0780
14,0.03,0.7527,1.0654,710.4879,0.1049
15,0.03,0.7517,1.0872,735.0489,0.0823
16,0.03,0.7780,0.9176,725.1735,0.0891
17,0.03,0.7922,0.8843,709.7631,0.0945
18,0.03,0.8072,0.8449,703.3144,0.0498
19,0.03,0.8003,0.8827,722.6551,0.0334
20,0.03,0.7937,1.0604,761.3208,0.0516
21,0.03,0.7869,1.0417,772.8900,0.0440
22,0.03,0.7850,0.9590,760.2039,0.0382
23,0.03,0.7748,0.9662,756.6219,0.0791
24,0.03,0.7742,1.0284,776.4875,0.0391
25,0.03,0.7775,1.0365,806.6898,0.0874
26,0.03,0.7658,1.1652,817.9059,0.1068
27,0.03,0.7659,0.9822,807.1285,0.1237
28,0.03,0.7882,0.9197,811.3005,0.0751
29,0.03,0.7898,0.9286,807.4231,0.0800
