time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.03,0.1507,1.8799,847.8957,0.0910
1,0.03,0.1966,1.8824,831.2408,0.1033
2,0.03,0.2462,1.8000,822.2494,0.0849
3,0.03,0.3253,1.7836,827.1206,0.1329
4,0.03,0.3457,1.8365,810.1732,0.1348
5,0.03,0.3695,1.9235,789.0989,0.1949
6,0.03,0.4222,1.9168,763.4031,0.2135
7,0.03,0.4722,1.7780,750.3292,0.1772
8,0.03,0.5137,1.7141,757.3101,0.1930
9,0.03,0.5855,1.6719,780.8955,0.2274
10,0.03,0.6060,1.7116,799.1638,0.2467
11,0.03,0.6238,1.5620,804.3793,0.2233
12,0.03,0.6995,1.2467,792.3572,0.2055
13,0.03,0.6863,1.2866,796.1532,0.1755
14,0.03,0.7278,1.3364,810.0499,0.1886
15,0.03,0.7436,1.1651,824.7613,0.1714
16,0.03,0.7548,1.0511,837.9144,0.1044
17,0.03,0.7706,0.9129,844.6699,0.0881
18,0.03,0.7140,1.0661,843.9152,0.1296
19,0.03,0.7369,1.0451,837.6934,0.1354
20,0.03,0.7397,1.0378,870.9279,0.0981
21,0.03,0.7160,1.0881,877.5497,0.0647
22,0.03,0.7375,0.9338,870.6896,-0.0117
23,0.03,0.7439,0.9531,863.3598,-0.0367
24,0.03,0.7063,1.0823,855.5446,-0.0441
25,0.03,0.7114,1.1551,834.3761,-0.0287
26,0.03,0.7366,1.0399,839.7103,-0.0442
27,0.03,0.7667,0.9144,855.0558,-0.0551
28,0.03,0.7294,0.9934,849.3918,-0.0673
29,0.03,0.6794,1.1621,840.4933,-0.0319
