time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.04,0.1414,1.8762,837.6876,0.0406
1,0.04,0.2310,1.7739,836.6205,0.0215
2,0.04,0.2822,1.6358,848.8777,-0.0287
3,0.04,0.3542,1.5780,840.4852,-0.0094
4,0.04,0.4089,1.5259,820.0119,-0.0388
5,0.04,0.4577,1.4721,818.4751,-0.0312
6,0.04,0.5105,1.4066,837.6909,-0.0517
7,0.04,0.5709,1.2711,841.1127,-0.0307
8,0.04,0.6611,1.1860,836.5172,-0.0266
9,0.04,0.7216,0.9714,810.6505,-0.0615
10,0.04,0.7787,0.9274,809.3152,-0.0478
11,0.04,0.7740,0.8404,820.2819,-0.0570
12,0.04,0.7703,0.7871,836.4854,-0.0426
13,0.04,0.8211,0.7104,831.0151,-0.0631
14,0.04,0.8058,0.7907,789.6518,-0.0516
15,0.04,0.8048,0.8786,759.3611,-0.0871
16,0.04,0.8080,0.8099,747.3831,-0.0429
17,0.04,0.8059,0.7972,730.4348,-0.0273
18,0.04,0.8123,0.8082,737.5086,-0.0320
19,0.04,0.8136,0.7459,725.6205,-0.0005
20,0.04,0.7984,0.7649,719.3550,-0.0088
21,0.04,0.8036,0.7549,733.3466,-0.0456
22,0.04,0.7739,1.0486,770.3307,-0.0366
23,0.04,0.7680,0.9591,819.2477,-0.0576
24,0.04,0.7540,1.0186,839.9505,-0.0195
25,0.04,0.7934,0.8343,844.3820,0.0136
26,0.04,0.7782,1.0180,820.7630,0.0552
27,0.04,0.7825,0.9135,803.8913,0.0364
28,0.04,0.7589,0.9269,793.0615,0.0361
29,0.04,0.8110,0.7188,803.6423,0.0159
