time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.04,0.1760,1.9128,810.7422,0.1195
1,0.04,0.2583,1.9143,821.7232,0.1757
2,0.04,0.3143,1.7868,813.9024,0.1481
3,0.04,0.3310,1.6882,803.6070,0.0958
4,0.04,0.4012,1.6408,792.0351,0.0666
5,0.04,0.4547,1.6037,791.4016,0.0539
6,0.04,0.4978,1.5115,825.3026,0.0237
7,0.04,0.5393,1.4501,857.8730,0.0211
8,0.04,0.5943,1.3640,882.3622,0.0567
9,0.04,0.5882,1.4517,884.5000,0.0715
10,0.04,0.6108,1.5145,893.1929,0.0874
11,0.04,0.6279,1.4823,917.9784,0.0902
12,0.04,0.6633,1.4276,910.3907,0.0620
13,0.04,0.6817,1.2914,903.8740,0.0708
14,0.04,0.7116,1.0985,892.9575,0.0393
15,0.04,0.7453,0.9525,887.4242,-0.0273
16,0.04,0.7472,0.9681,887.2890,-0.0409
17,0.04,0.7739,0.8347,886.1945,-0.0391
18,0.04,0.8106,0.7729,857.3361,-0.0281
19,0.04,0.7965,0.7720,835.1723,-0.0005
20,0.04,0.8259,0.7500,861.7277,0.0286
21,0.04,0.8444,0.6815,865.7153,0.0708
22,0.04,0.8566,0.6326,868.0463,0.0457
23,0.04,0.8294,0.7037,865.9155,-0.0243
24,0.04,0.8186,0.6443,852.1430,-0.0621
25,0.04,0.8217,0.6709,841.7870,-0.0520
26,0.04,0.8186,0.6879,839.8052,-0.0330
27,0.04,0.8267,0.6197,828.8655,-0.0081
28,0.04,0.8171,0.8129,813.0059,0.0553
29,0.04,0.7849,0.7899,785.1494,-0.0148
